event,start,end,duration,RMSE,MAE,stars,params,comment
uGauss2_nlsr::nlxb_01,15:36:53.585,15:36:53.631,0.046,3.5011,2.6021,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_nlsr::nlxb_02,15:36:53.631,15:36:53.772,0.141,4.9923,3.7651,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_nlsr::nlxb_03,15:36:53.772,15:36:53.835,0.063,3.5011,2.6021,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_nlsr::nlxb_04,15:36:53.835,15:36:53.866,0.031,8.0767,5.1869,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_nlsr::nlxb_05,15:36:53.866,15:36:53.928,0.062,3.5011,2.6021,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_nlsr::nlxb_06,15:36:53.928,15:36:54.038,0.11,2.9793,2.3882,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_nlsr::nlxb_07,15:36:54.038,15:36:54.100,0.062,8.3737,5.801,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_nlsr::nlxb_08,15:36:54.100,15:36:54.147,0.047,3.5011,2.6021,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_nlsr::nlxb_09,15:36:54.147,15:36:54.256,0.109,2.3386,1.8372,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_nlsr::nlxb_10,15:36:54.256,15:36:54.319,0.063,3.5011,2.6021,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_01,15:46:31.231,15:46:31.294,0.063,6.0691,4.6394,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_02,15:46:31.294,15:46:31.325,0.031,3.5011,2.6021,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_03,15:46:31.325,15:46:31.388,0.063,2.3331,1.8309,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_04,15:46:31.388,15:46:31.450,0.062,2.3326,1.8306,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_05,15:46:31.450,15:46:31.481,0.031,8.3794,5.7628,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_06,15:46:31.481,15:46:31.544,0.063,8.3739,5.8035,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_07,15:46:31.544,15:46:31.591,0.047,8.3794,5.7628,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_08,15:46:31.591,15:46:31.606,0.015,3.5011,2.6021,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_09,15:46:31.606,15:46:31.669,0.063,6.0885,4.6224,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_minpacklm::nlsLM_10,15:46:31.669,15:46:31.731,0.062,2.3338,1.8316,**,maxiter = 150,Require hand-made formulas and scaling
uGauss2_h2o::h2o.deeplearning_01,15:54:34.283,15:54:34.878,0.595,9.6988,7.0654,,maxiter=200,Bad on univariate datasets
