event,start,end,duration,RMSE,MAE,stars,params,comment
mIshigami_nlsr::nlxb_01,15:36:37.634,15:36:38.759,1.125,2.2299,1.8013,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_nlsr::nlxb_02,15:36:38.759,15:36:39.868,1.109,2.2454,1.8327,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_nlsr::nlxb_03,15:36:39.868,15:36:40.961,1.093,2.2045,1.8073,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_nlsr::nlxb_04,15:36:40.961,15:36:42.055,1.094,2.43,2.0983,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_nlsr::nlxb_05,15:36:42.055,15:36:43.117,1.062,2.2922,1.8678,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_nlsr::nlxb_06,15:36:43.117,15:36:44.289,1.172,0.5895,0.4575,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_nlsr::nlxb_07,15:36:44.289,15:36:45.382,1.093,1.9305,1.501,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_nlsr::nlxb_08,15:36:45.382,15:36:46.444,1.062,2.2693,1.8633,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_nlsr::nlxb_09,15:36:46.444,15:36:47.507,1.063,2.4544,2.1458,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_nlsr::nlxb_10,15:36:47.507,15:36:48.569,1.062,1.9258,1.465,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_01,15:46:17.368,15:46:18.446,1.078,2.4458,2.1212,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_02,15:46:18.446,15:46:19.539,1.093,2.5107,2.1943,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_03,15:46:19.539,15:46:20.586,1.047,2.5615,2.2302,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_04,15:46:20.586,15:46:21.648,1.062,0.6682,0.517,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_05,15:46:21.664,15:46:22.757,1.093,1.9846,1.5055,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_06,15:46:22.773,15:46:23.851,1.078,2.3126,1.8816,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_07,15:46:23.866,15:46:24.975,1.109,2.5199,2.1871,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_08,15:46:24.975,15:46:26.069,1.094,2.3002,1.9006,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_09,15:46:26.069,15:46:27.147,1.078,2.3052,1.8863,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_minpack.lm::nlsLM_10,15:46:27.147,15:46:28.256,1.109,2.4859,2.1579,**,maxiter = 150,Require hand-made formulas and scaling
mIshigami_h2o::h2o.deeplearning_01,15:53:49.474,15:53:51.549,2.075,2.5588,2.1067,,maxiter=200,Bad on univariate datasets
mIshigami_h2o::h2o.deeplearning_02,15:53:51.564,15:53:52.282,0.718,1.2911,0.997,,maxiter=200,Bad on univariate datasets
mIshigami_h2o::h2o.deeplearning_03,15:53:52.313,15:53:53.064,0.751,1.3527,1.0244,,maxiter=200,Bad on univariate datasets
mIshigami_h2o::h2o.deeplearning_04,15:53:53.079,15:53:53.798,0.719,1.9391,1.4783,,maxiter=200,Bad on univariate datasets
mIshigami_h2o::h2o.deeplearning_05,15:53:53.813,15:53:54.454,0.641,2.5684,2.1382,,maxiter=200,Bad on univariate datasets
mIshigami_h2o::h2o.deeplearning_06,15:53:54.469,15:53:55.142,0.673,1.1604,0.8465,,maxiter=200,Bad on univariate datasets
mIshigami_h2o::h2o.deeplearning_07,15:53:55.157,15:53:55.828,0.671,1.0879,0.8078,,maxiter=200,Bad on univariate datasets
mIshigami_h2o::h2o.deeplearning_08,15:53:55.844,15:53:56.594,0.75,2.5892,2.1677,,maxiter=200,Bad on univariate datasets
mIshigami_h2o::h2o.deeplearning_09,15:53:56.609,15:53:57.297,0.688,1.1322,0.8511,,maxiter=200,Bad on univariate datasets
mIshigami_h2o::h2o.deeplearning_10,15:53:57.328,15:53:58.062,0.734,1.0089,0.7433,,maxiter=200,Bad on univariate datasets
mIshigami_neuralnet::neuralnet_rprop+_01,18:08:03.360,18:08:31.400,28.04,3.6898,2.9776,,,Erratic on difficult datasets
mIshigami_neuralnet::neuralnet_rprop+_02,18:08:31.416,18:09:00.822,29.406,3.6898,2.9776,,,Erratic on difficult datasets
mIshigami_neuralnet::neuralnet_rprop+_03,18:09:00.837,18:09:29.971,29.134,3.6898,2.9776,,,Erratic on difficult datasets
mIshigami_neuralnet::neuralnet_rprop+_04,18:09:29.987,18:10:06.660,36.673,3.6898,2.9776,,,Erratic on difficult datasets
mIshigami_neuralnet::neuralnet_rprop+_05,18:10:06.676,18:10:36.216,29.54,3.6898,2.9776,,,Erratic on difficult datasets
mIshigami_neuralnet::neuralnet_backprop_01,21:15:12.788,21:15:40.919,28.131,3.6898,2.9776,,,Fails on difficult datasets
mIshigami_neuralnet::neuralnet_backprop_02,21:15:40.950,21:16:08.647,27.697,3.6898,2.9776,,,Fails on difficult datasets
mIshigami_neuralnet::neuralnet_backprop_03,21:16:08.663,21:16:37.277,28.614,3.6898,2.9776,,,Fails on difficult datasets
mIshigami_neuralnet::neuralnet_backprop_04,21:16:37.293,21:17:05.140,27.847,3.6898,2.9776,,,Fails on difficult datasets
mIshigami_neuralnet::neuralnet_backprop_05,21:17:05.155,21:17:33.067,27.912,3.6898,2.9776,,,Fails on difficult datasets
