event,start,end,duration,RMSE,MAE,stars,params,comment
uDmod1_nlsr::nlxb_01,15:36:49.791,15:36:49.869,0.078,0.0439,0.0356,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_nlsr::nlxb_02,15:36:49.869,15:36:49.963,0.094,0.043,0.0344,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_nlsr::nlxb_03,15:36:49.963,15:36:50.041,0.078,0.0433,0.0349,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_nlsr::nlxb_04,15:36:50.041,15:36:50.135,0.094,0.046,0.0364,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_nlsr::nlxb_05,15:36:50.135,15:36:50.213,0.078,0.0472,0.0375,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_nlsr::nlxb_06,15:36:50.213,15:36:50.291,0.078,0.095,0.0742,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_nlsr::nlxb_07,15:36:50.307,15:36:50.385,0.078,0.0433,0.0349,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_nlsr::nlxb_08,15:36:50.385,15:36:50.463,0.078,0.0465,0.039,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_nlsr::nlxb_09,15:36:50.478,15:36:50.556,0.078,0.1012,0.0823,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_nlsr::nlxb_10,15:36:50.556,15:36:50.635,0.079,0.0469,0.0393,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_01,15:46:29.085,15:46:29.147,0.062,0.0433,0.035,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_02,15:46:29.147,15:46:29.194,0.047,0.5884,0.5069,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_03,15:46:29.194,15:46:29.241,0.047,0.0433,0.0349,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_04,15:46:29.241,15:46:29.303,0.062,0.0418,0.0326,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_05,15:46:29.303,15:46:29.350,0.047,0.044,0.0355,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_06,15:46:29.350,15:46:29.413,0.063,0.0475,0.0383,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_07,15:46:29.413,15:46:29.460,0.047,0.0797,0.0598,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_08,15:46:29.460,15:46:29.507,0.047,0.5884,0.5069,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_09,15:46:29.507,15:46:29.569,0.062,0.0733,0.0533,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_minpack.lm::nlsLM_10,15:46:29.569,15:46:29.616,0.047,0.0433,0.0349,**,maxiter = 150,Require hand-made formulas and scaling
uDmod1_h2o::h2o.deeplearning_01,15:54:04.748,15:54:05.311,0.563,0.388,0.3357,,maxiter=200,Bad on univariate datasets
uDmod1_h2o::h2o.deeplearning_02,15:54:05.311,15:54:05.936,0.625,0.2428,0.1958,,maxiter=200,Bad on univariate datasets
uDmod1_h2o::h2o.deeplearning_03,15:54:05.936,15:54:06.483,0.547,0.3503,0.2783,,maxiter=200,Bad on univariate datasets
uDmod1_h2o::h2o.deeplearning_04,15:54:06.483,15:54:06.967,0.484,0.3051,0.2466,,maxiter=200,Bad on univariate datasets
uDmod1_h2o::h2o.deeplearning_05,15:54:06.967,15:54:07.560,0.593,0.3784,0.3125,,maxiter=200,Bad on univariate datasets
uDmod1_h2o::h2o.deeplearning_06,15:54:07.560,15:54:08.060,0.5,0.3151,0.2672,,maxiter=200,Bad on univariate datasets
uDmod1_h2o::h2o.deeplearning_07,15:54:08.060,15:54:08.560,0.5,0.374,0.3073,,maxiter=200,Bad on univariate datasets
uDmod1_h2o::h2o.deeplearning_08,15:54:08.560,15:54:09.138,0.578,0.3766,0.3139,,maxiter=200,Bad on univariate datasets
uDmod1_h2o::h2o.deeplearning_09,15:54:09.138,15:54:09.716,0.578,0.3696,0.3204,,maxiter=200,Bad on univariate datasets
uDmod1_h2o::h2o.deeplearning_10,15:54:09.716,15:54:10.294,0.578,0.3856,0.3063,,maxiter=200,Bad on univariate datasets
uDmod1_neuralnet::neuralnet_rprop+_01,18:10:38.981,18:10:40.012,1.031,0.0604,0.0458,,,Erratic on difficult datasets
uDmod1_neuralnet::neuralnet_rprop+_02,18:10:40.012,18:10:41.699,1.687,0.0615,0.0472,,,Erratic on difficult datasets
uDmod1_neuralnet::neuralnet_rprop+_03,18:10:41.699,18:10:42.402,0.703,0.0469,0.038,,,Erratic on difficult datasets
uDmod1_neuralnet::neuralnet_rprop+_04,18:10:42.402,18:10:43.402,1,0.0493,0.0395,,,Erratic on difficult datasets
uDmod1_neuralnet::neuralnet_rprop+_05,18:10:43.402,18:10:44.261,0.859,0.0616,0.0473,,,Erratic on difficult datasets
