event,start,end,duration,RMSE,MAE,stars,params,comment
uGauss3_nlsr::nlxb_01,15:36:54.319,15:36:54.381,0.062,2.8185,2.2078,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_nlsr::nlxb_02,15:36:54.381,15:36:54.475,0.094,3.1689,2.5011,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_nlsr::nlxb_03,15:36:54.491,15:36:54.584,0.093,3.1589,2.4844,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_nlsr::nlxb_04,15:36:54.584,15:36:54.631,0.047,2.8185,2.2078,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_nlsr::nlxb_05,15:36:54.631,15:36:54.662,0.031,2.8185,2.2078,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_nlsr::nlxb_06,15:36:54.662,15:36:54.709,0.047,2.8185,2.2078,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_nlsr::nlxb_07,15:36:54.709,15:36:54.772,0.063,9.0848,6.3166,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_nlsr::nlxb_08,15:36:54.772,15:36:54.881,0.109,3.1497,2.4854,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_nlsr::nlxb_09,15:36:54.881,15:36:54.990,0.109,3.1508,2.4845,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_nlsr::nlxb_10,15:36:54.990,15:36:55.084,0.094,2.2998,1.8387,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_01,15:46:31.747,15:46:31.809,0.062,3.146,2.4831,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_02,15:46:31.809,15:46:31.872,0.063,3.4954,2.8093,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_03,15:46:31.872,15:46:31.934,0.062,2.2993,1.8379,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_04,15:46:31.934,15:46:31.997,0.063,2.299,1.8375,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_05,15:46:31.997,15:46:32.028,0.031,2.8185,2.2078,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_06,15:46:32.028,15:46:32.091,0.063,2.277,1.8053,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_07,15:46:32.091,15:46:32.137,0.046,2.8185,2.2078,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_08,15:46:32.137,15:46:32.184,0.047,3.1466,2.4839,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_09,15:46:32.184,15:46:32.247,0.063,2.2991,1.8376,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_minpack.lm::nlsLM_10,15:46:32.247,15:46:32.325,0.078,2.2997,1.8387,**,maxiter = 150,Require hand-made formulas and scaling
uGauss3_h2o::h2o.deeplearning_01,15:54:40.688,15:54:41.345,0.657,5.879,4.5821,,maxiter=200,Bad on univariate datasets
uGauss3_h2o::h2o.deeplearning_02,15:54:41.345,15:54:41.907,0.562,5.8464,4.5195,,maxiter=200,Bad on univariate datasets
uGauss3_h2o::h2o.deeplearning_03,15:54:41.907,15:54:42.532,0.625,9.3588,7.377,,maxiter=200,Bad on univariate datasets
uGauss3_h2o::h2o.deeplearning_04,15:54:42.532,15:54:43.126,0.594,4.7618,3.6456,,maxiter=200,Bad on univariate datasets
uGauss3_h2o::h2o.deeplearning_05,15:54:43.126,15:54:43.766,0.64,5.0436,3.9128,,maxiter=200,Bad on univariate datasets
uGauss3_h2o::h2o.deeplearning_06,15:54:43.766,15:54:44.375,0.609,4.1699,3.2997,,maxiter=200,Bad on univariate datasets
uGauss3_h2o::h2o.deeplearning_07,15:54:44.375,15:54:44.938,0.563,4.984,3.8385,,maxiter=200,Bad on univariate datasets
uGauss3_h2o::h2o.deeplearning_08,15:54:44.938,15:54:45.578,0.64,7.7112,5.892,,maxiter=200,Bad on univariate datasets
uGauss3_h2o::h2o.deeplearning_09,15:54:45.578,15:54:46.203,0.625,6.1606,4.7862,,maxiter=200,Bad on univariate datasets
uGauss3_h2o::h2o.deeplearning_10,15:54:46.203,15:54:46.812,0.609,5.975,4.5749,,maxiter=200,Bad on univariate datasets
uGauss3_neuralnet::neuralnet_rprop+_01,18:11:46.137,18:11:47.011,0.874,3.1706,2.5029,,,Erratic on difficult datasets
uGauss3_neuralnet::neuralnet_rprop+_02,18:11:47.011,18:11:48.574,1.563,3.1765,2.5081,,,Erratic on difficult datasets
uGauss3_neuralnet::neuralnet_rprop+_03,18:11:48.574,18:11:48.980,0.406,2.4806,1.954,,,Erratic on difficult datasets
uGauss3_neuralnet::neuralnet_rprop+_04,18:11:48.980,18:11:50.479,1.499,3.1802,2.5117,,,Erratic on difficult datasets
uGauss3_neuralnet::neuralnet_rprop+_05,18:11:50.479,18:11:51.542,1.063,2.3342,1.8767,,,Erratic on difficult datasets
uGauss3_neuralnet::neuralnet_backprop_01,21:20:49.322,21:20:57.976,8.654,40.0663,34.1007,,,Fails on difficult datasets
uGauss3_neuralnet::neuralnet_backprop_02,21:20:57.976,21:21:06.381,8.405,40.0663,34.1007,,,Fails on difficult datasets
uGauss3_neuralnet::neuralnet_backprop_03,21:21:06.381,21:21:14.973,8.592,40.0663,34.1007,,,Fails on difficult datasets
uGauss3_neuralnet::neuralnet_backprop_04,21:21:14.973,21:21:23.877,8.904,40.0663,34.1007,,,Fails on difficult datasets
uGauss3_neuralnet::neuralnet_backprop_05,21:21:23.892,21:21:32.593,8.701,40.0663,34.1007,,,Fails on difficult datasets
