event,start,end,duration,RMSE,MAE,stars,params,comment
mDette_AMORE:ADAPTgd_01,10:55:33.188,10:55:33.872,0.684,1.265,0.9091,,iter=5000,NA
mDette_AMORE:ADAPTgd_02,10:55:33.888,10:55:34.589,0.701,2.2944,1.7975,,iter=5000,NA
mDette_AMORE:ADAPTgd_03,10:55:34.602,10:55:35.285,0.683,2.2941,1.7976,,iter=5000,NA
mDette_AMORE:ADAPTgd_04,10:55:35.297,10:55:36.021,0.724,1.224,0.8803,,iter=5000,NA
mDette_AMORE:ADAPTgd_05,10:55:36.033,10:55:36.767,0.734,1.2726,0.9146,,iter=5000,NA
mDette_AMORE:ADAPTgd_06,10:55:36.779,10:55:37.536,0.757,1.3163,0.9478,,iter=5000,NA
mDette_AMORE:ADAPTgd_07,10:55:37.548,10:55:38.326,0.778,2.2945,1.7975,,iter=5000,NA
mDette_AMORE:ADAPTgd_08,10:55:38.338,10:55:39.134,0.796,1.273,0.9149,,iter=5000,NA
mDette_AMORE:ADAPTgd_09,10:55:39.157,10:55:39.960,0.803,2.2946,1.7975,,iter=5000,NA
mDette_AMORE:ADAPTgd_10,10:55:39.973,10:55:40.799,0.826,2.2944,1.7975,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_01,10:56:44.800,10:56:45.782,0.982,0.3832,0.2958,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_02,10:56:45.803,10:56:46.790,0.987,0.3812,0.2937,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_03,10:56:46.805,10:56:47.798,0.993,0.3807,0.2933,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_04,10:56:47.810,10:56:48.822,1.012,0.3851,0.2977,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_05,10:56:48.837,10:56:49.854,1.017,0.3811,0.2937,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_06,10:56:49.869,10:56:50.924,1.055,0.3822,0.295,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_07,10:56:50.943,10:56:52.005,1.062,0.3809,0.2935,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_08,10:56:52.005,10:56:53.112,1.107,0.3822,0.2951,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_09,10:56:53.124,10:56:54.255,1.131,0.381,0.2935,,iter=5000,NA
mDette_AMORE:ADAPTgdwm_10,10:56:54.271,10:56:55.420,1.149,0.388,0.2928,,iter=5000,NA
mDette_AMORE:BATCHgd_01,10:58:39.110,10:58:40.369,1.259,3.0585,2.2266,,iter=5000,NA
mDette_AMORE:BATCHgd_02,10:58:40.391,10:58:41.563,1.172,6.8338,5.6573,,iter=5000,NA
mDette_AMORE:BATCHgd_03,10:58:41.579,10:58:42.743,1.164,3.1914,2.3341,,iter=5000,NA
mDette_AMORE:BATCHgd_04,10:58:42.756,10:58:43.937,1.181,2.9239,2.1352,,iter=5000,NA
mDette_AMORE:BATCHgd_05,10:58:43.950,10:58:45.162,1.212,5.9264,4.8563,,iter=5000,NA
mDette_AMORE:BATCHgd_06,10:58:45.175,10:58:46.518,1.343,3.3398,2.4687,,iter=5000,NA
mDette_AMORE:BATCHgd_07,10:58:46.530,10:58:47.795,1.265,3.7269,2.7945,,iter=5000,NA
mDette_AMORE:BATCHgd_08,10:58:47.807,10:58:49.074,1.267,3.5895,2.5759,,iter=5000,NA
mDette_AMORE:BATCHgd_09,10:58:49.086,10:58:50.394,1.308,3.0915,2.243,,iter=5000,NA
mDette_AMORE:BATCHgd_10,10:58:50.410,10:58:51.699,1.289,3.2416,2.3316,,iter=5000,NA
mDette_AMORE:BATCHgdwm_01,11:01:09.840,11:01:11.006,1.166,7.5973,6.1461,,iter=5000,NA
mDette_AMORE:BATCHgdwm_02,11:01:11.037,11:01:12.193,1.156,7.6251,6.1719,,iter=5000,NA
mDette_AMORE:BATCHgdwm_03,11:01:12.210,11:01:13.376,1.166,7.6626,6.1947,,iter=5000,NA
mDette_AMORE:BATCHgdwm_04,11:01:13.388,11:01:14.622,1.234,7.6073,6.1476,,iter=5000,NA
mDette_AMORE:BATCHgdwm_05,11:01:14.635,11:01:15.850,1.215,7.6501,6.1903,,iter=5000,NA
mDette_AMORE:BATCHgdwm_06,11:01:15.865,11:01:17.109,1.244,7.6892,6.2157,,iter=5000,NA
mDette_AMORE:BATCHgdwm_07,11:01:17.124,11:01:18.372,1.248,7.6722,6.1923,,iter=5000,NA
