event,start,end,duration,RMSE,MAE,stars,params,comment
mFriedman_AMORE:ADAPTgd_01,10:55:40.896,10:55:41.613,0.717,0.0385,0.0269,,iter=5000,NA
mFriedman_AMORE:ADAPTgd_02,10:55:41.625,10:55:42.360,0.735,0.039,0.0272,,iter=5000,NA
mFriedman_AMORE:ADAPTgd_03,10:55:42.373,10:55:43.133,0.76,0.0384,0.0269,,iter=5000,NA
mFriedman_AMORE:ADAPTgd_04,10:55:43.149,10:55:43.919,0.77,0.0305,0.0244,,iter=5000,NA
mFriedman_AMORE:ADAPTgd_05,10:55:43.931,10:55:44.713,0.782,0.0383,0.0269,,iter=5000,NA
mFriedman_AMORE:ADAPTgd_06,10:55:44.725,10:55:45.525,0.8,0.026,0.021,,iter=5000,NA
mFriedman_AMORE:ADAPTgd_07,10:55:45.537,10:55:46.382,0.845,0.0303,0.0243,,iter=5000,NA
mFriedman_AMORE:ADAPTgd_08,10:55:46.395,10:55:47.265,0.87,0.0387,0.027,,iter=5000,NA
mFriedman_AMORE:ADAPTgd_09,10:55:47.277,10:55:48.170,0.893,0.0305,0.0243,,iter=5000,NA
mFriedman_AMORE:ADAPTgd_10,10:55:48.182,10:55:49.051,0.869,0.0304,0.0243,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_01,10:56:55.510,10:56:56.604,1.094,0.0431,0.0316,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_02,10:56:56.616,10:56:57.696,1.08,0.0436,0.0336,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_03,10:56:57.708,10:56:58.813,1.105,0.0867,0.0696,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_04,10:56:58.828,10:56:59.950,1.122,0.0436,0.0336,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_05,10:56:59.963,10:57:01.120,1.157,0.0436,0.0336,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_06,10:57:01.133,10:57:02.314,1.181,0.0434,0.0314,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_07,10:57:02.314,10:57:03.487,1.173,0.0434,0.0314,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_08,10:57:03.502,10:57:04.712,1.21,0.0436,0.0336,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_09,10:57:04.712,10:57:05.949,1.237,0.0867,0.0696,,iter=5000,NA
mFriedman_AMORE:ADAPTgdwm_10,10:57:05.962,10:57:07.202,1.24,0.0436,0.0336,,iter=5000,NA
mFriedman_AMORE:BATCHgd_01,10:58:51.780,10:58:52.892,1.112,0.1283,0.1006,,iter=5000,NA
mFriedman_AMORE:BATCHgd_02,10:58:52.905,10:58:54.018,1.113,0.1243,0.0962,,iter=5000,NA
mFriedman_AMORE:BATCHgd_03,10:58:54.042,10:58:55.307,1.265,0.1232,0.0955,,iter=5000,NA
mFriedman_AMORE:BATCHgd_04,10:58:55.320,10:58:56.484,1.164,0.1275,0.0994,,iter=5000,NA
mFriedman_AMORE:BATCHgd_05,10:58:56.499,10:58:57.702,1.203,0.1363,0.107,,iter=5000,NA
mFriedman_AMORE:BATCHgd_06,10:58:57.702,10:58:58.915,1.213,0.1261,0.0977,,iter=5000,NA
mFriedman_AMORE:BATCHgd_07,10:58:58.930,10:59:00.169,1.239,0.1212,0.0938,,iter=5000,NA
mFriedman_AMORE:BATCHgd_08,10:59:00.181,10:59:01.430,1.249,0.1229,0.0954,,iter=5000,NA
mFriedman_AMORE:BATCHgd_09,10:59:01.446,10:59:02.718,1.272,0.1255,0.0977,,iter=5000,NA
mFriedman_AMORE:BATCHgd_10,10:59:02.733,10:59:04.096,1.363,0.1246,0.0966,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_01,11:01:22.369,11:01:23.498,1.129,0.1474,0.1149,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_02,11:01:23.513,11:01:24.678,1.165,0.1476,0.1149,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_03,11:01:24.678,11:01:25.942,1.264,0.1462,0.1139,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_04,11:01:25.954,11:01:27.158,1.204,0.1475,0.1149,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_05,11:01:27.162,11:01:28.454,1.292,0.1474,0.1145,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_06,11:01:28.467,11:01:29.697,1.23,0.1474,0.1148,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_07,11:01:29.712,11:01:30.979,1.267,0.1472,0.1146,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_08,11:01:30.992,11:01:32.260,1.268,0.1473,0.1147,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_09,11:01:32.275,11:01:33.595,1.32,0.1473,0.1147,,iter=5000,NA
mFriedman_AMORE:BATCHgdwm_10,11:01:33.606,11:01:34.903,1.297,0.1472,0.1147,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_01,11:08:26.911,11:08:28.005,1.094,0.0218,0.0176,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_02,11:08:28.021,11:08:29.175,1.154,0.0248,0.02,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_03,11:08:29.192,11:08:30.379,1.187,0.0877,0.0732,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_04,11:08:30.394,11:08:31.634,1.24,0.0236,0.019,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_05,11:08:31.646,11:08:32.848,1.202,0.0287,0.0218,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_06,11:08:32.861,11:08:34.083,1.222,0.0247,0.0193,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_07,11:08:34.099,11:08:35.342,1.243,0.0247,0.0201,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_08,11:08:35.355,11:08:36.634,1.279,0.0245,0.0195,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_09,11:08:36.634,11:08:37.942,1.308,0.0304,0.0244,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_adam_10,11:08:37.942,11:08:39.246,1.304,0.0232,0.0188,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_01,11:11:35.786,11:11:36.885,1.099,0.0384,0.0307,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_02,11:11:36.893,11:11:37.980,1.087,0.0345,0.0273,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_03,11:11:37.996,11:11:39.089,1.093,0.0463,0.0367,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_04,11:11:39.105,11:11:40.224,1.119,0.088,0.0758,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_05,11:11:40.240,11:11:41.406,1.166,0.0594,0.0475,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_06,11:11:41.418,11:11:42.601,1.183,0.0403,0.0324,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_07,11:11:42.616,11:11:43.832,1.216,0.0384,0.0309,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_08,11:11:43.837,11:11:45.083,1.246,0.0867,0.0748,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_09,11:11:45.099,11:11:46.349,1.25,0.0526,0.0432,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_rmsprop_10,11:11:46.365,11:11:47.663,1.298,0.089,0.0756,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_sgd_01,11:14:20.149,11:14:21.185,1.036,0.0262,0.0202,,iter=5000,NA
mFriedman_ANN2::neuralnetwork_sgd_02,11:14:21.201,11:14:22.339,1.138,0.0198,0.0161,,iter=5000,NA
