event,start,end,duration,RMSE,MAE,stars,params,comment
mIshigami_AMORE:ADAPTgd_01,10:55:49.134,10:55:50.313,1.179,2.5412,2.0803,,iter=5000,NA
mIshigami_AMORE:ADAPTgd_02,10:55:50.325,10:55:51.532,1.207,0.764,0.5878,,iter=5000,NA
mIshigami_AMORE:ADAPTgd_03,10:55:51.544,10:55:52.790,1.246,2.5433,2.0717,,iter=5000,NA
mIshigami_AMORE:ADAPTgd_04,10:55:52.802,10:55:54.039,1.237,0.7613,0.5622,,iter=5000,NA
mIshigami_AMORE:ADAPTgd_05,10:55:54.052,10:55:55.341,1.289,0.738,0.5578,,iter=5000,NA
mIshigami_AMORE:ADAPTgd_06,10:55:55.356,10:55:56.682,1.326,0.7271,0.5423,,iter=5000,NA
mIshigami_AMORE:ADAPTgd_07,10:55:56.694,10:55:58.002,1.308,2.4536,1.9756,,iter=5000,NA
mIshigami_AMORE:ADAPTgd_08,10:55:58.014,10:55:59.330,1.316,2.5049,2.0543,,iter=5000,NA
mIshigami_AMORE:ADAPTgd_09,10:55:59.343,10:56:00.685,1.342,0.6201,0.4573,,iter=5000,NA
mIshigami_AMORE:ADAPTgd_10,10:56:00.691,10:56:02.069,1.378,0.7851,0.5966,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_01,10:57:07.281,10:57:08.988,1.707,0.9988,0.7326,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_02,10:57:09.000,10:57:10.708,1.708,2.2218,1.7486,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_03,10:57:10.720,10:57:12.445,1.725,0.9845,0.7162,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_04,10:57:12.461,10:57:14.230,1.769,0.9358,0.6835,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_05,10:57:14.245,10:57:16.017,1.772,0.8137,0.5967,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_06,10:57:16.029,10:57:17.805,1.776,2.2324,1.7517,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_07,10:57:17.820,10:57:19.651,1.831,0.8157,0.5979,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_08,10:57:19.664,10:57:21.512,1.848,2.232,1.7572,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_09,10:57:21.524,10:57:23.372,1.848,0.896,0.6534,,iter=5000,NA
mIshigami_AMORE:ADAPTgdwm_10,10:57:23.384,10:57:25.280,1.896,0.8512,0.6083,,iter=5000,NA
