event,start,end,duration,RMSE,MAE,stars,params,comment
uDmod2_AMORE:ADAPTgd_01,10:56:07.102,10:56:07.299,0.197,0.0832,0.0642,,iter=5000,NA
uDmod2_AMORE:ADAPTgd_02,10:56:07.301,10:56:07.486,0.185,0.1036,0.0751,,iter=5000,NA
uDmod2_AMORE:ADAPTgd_03,10:56:07.487,10:56:07.709,0.222,0.162,0.1339,,iter=5000,NA
uDmod2_AMORE:ADAPTgd_04,10:56:07.709,10:56:07.897,0.188,0.161,0.1325,,iter=5000,NA
uDmod2_AMORE:ADAPTgd_05,10:56:07.899,10:56:08.080,0.181,0.0971,0.0684,,iter=5000,NA
uDmod2_AMORE:ADAPTgd_06,10:56:08.081,10:56:08.263,0.182,0.0721,0.0572,,iter=5000,NA
uDmod2_AMORE:ADAPTgd_07,10:56:08.265,10:56:08.449,0.184,0.0855,0.0657,,iter=5000,NA
uDmod2_AMORE:ADAPTgd_08,10:56:08.451,10:56:08.633,0.182,0.0743,0.0592,,iter=5000,NA
uDmod2_AMORE:ADAPTgd_09,10:56:08.635,10:56:08.818,0.183,0.1435,0.1108,,iter=5000,NA
uDmod2_AMORE:ADAPTgd_10,10:56:08.820,10:56:09.018,0.198,0.0832,0.065,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_01,10:57:31.523,10:57:31.741,0.218,0.0795,0.0625,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_02,10:57:31.743,10:57:31.967,0.224,0.0799,0.0631,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_03,10:57:31.967,10:57:32.193,0.226,0.0766,0.0602,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_04,10:57:32.195,10:57:32.412,0.217,0.0798,0.0627,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_05,10:57:32.418,10:57:32.639,0.221,0.0794,0.0627,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_06,10:57:32.641,10:57:32.850,0.209,0.083,0.0663,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_07,10:57:32.866,10:57:33.086,0.22,0.0559,0.0476,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_08,10:57:33.086,10:57:33.319,0.233,0.0573,0.0487,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_09,10:57:33.319,10:57:33.552,0.233,0.0798,0.063,,iter=5000,NA
uDmod2_AMORE:ADAPTgdwm_10,10:57:33.554,10:57:33.782,0.228,0.0667,0.0508,,iter=5000,NA
uDmod2_AMORE:BATCHgd_01,10:59:40.545,10:59:41.455,0.91,0.3246,0.278,,iter=5000,NA
uDmod2_AMORE:BATCHgd_02,10:59:41.471,10:59:42.401,0.93,0.3354,0.2849,,iter=5000,NA
uDmod2_AMORE:BATCHgd_03,10:59:42.403,10:59:43.327,0.924,0.3201,0.2696,,iter=5000,NA
uDmod2_AMORE:BATCHgd_04,10:59:43.327,10:59:44.274,0.947,0.3126,0.2659,,iter=5000,NA
uDmod2_AMORE:BATCHgd_05,10:59:44.276,10:59:45.166,0.89,0.33,0.2813,,iter=5000,NA
uDmod2_AMORE:BATCHgd_06,10:59:45.182,10:59:46.111,0.929,0.3143,0.2684,,iter=5000,NA
uDmod2_AMORE:BATCHgd_07,10:59:46.113,10:59:47.038,0.925,0.3432,0.2903,,iter=5000,NA
uDmod2_AMORE:BATCHgd_08,10:59:47.038,10:59:47.970,0.932,0.3158,0.2711,,iter=5000,NA
uDmod2_AMORE:BATCHgd_09,10:59:47.971,10:59:48.897,0.926,0.3283,0.277,,iter=5000,NA
uDmod2_AMORE:BATCHgd_10,10:59:48.899,10:59:49.829,0.93,0.3289,0.2802,,iter=5000,NA
uDmod2_AMORE:BATCHgdwm_01,11:02:11.917,11:02:12.854,0.937,0.4612,0.4096,,iter=5000,NA
uDmod2_AMORE:BATCHgdwm_02,11:02:12.854,11:02:13.819,0.965,0.4656,0.4135,,iter=5000,NA
