event,start,end,duration,RMSE,MAE,stars,params,comment
uDreyfus2_brnn:gaussNewton_01,17:30:50.565,17:30:50.573,0.008,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_brnn:gaussNewton_02,17:30:50.576,17:30:50.589,0.013,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_brnn:gaussNewton_03,17:30:50.596,17:30:50.606,0.01,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_brnn:gaussNewton_04,17:30:50.608,17:30:50.617,0.009,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_brnn:gaussNewton_05,17:30:50.619,17:30:50.628,0.009,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_brnn:gaussNewton_06,17:30:50.630,17:30:50.641,0.011,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_brnn:gaussNewton_07,17:30:50.643,17:30:50.652,0.009,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_brnn:gaussNewton_08,17:30:50.654,17:30:50.663,0.009,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_brnn:gaussNewton_09,17:30:50.664,17:30:50.673,0.009,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_brnn:gaussNewton_10,17:30:50.676,17:30:50.691,0.015,0.0971,0.0776,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_01,17:38:35.991,17:38:37.564,1.573,0.0909,0.0729,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_02,17:38:37.564,17:38:39.137,1.573,0.1153,0.0886,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_03,17:38:39.137,17:38:40.556,1.419,0.091,0.073,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_04,17:38:40.556,17:38:42.178,1.622,0.1819,0.1304,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_05,17:38:42.178,17:38:43.837,1.659,0.091,0.0731,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_06,17:38:43.838,17:38:45.412,1.574,0.184,0.1275,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_07,17:38:45.412,17:38:46.588,1.176,0.1713,0.12,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_08,17:38:46.588,17:38:48.169,1.581,0.2646,0.178,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_09,17:38:48.169,17:38:49.330,1.161,0.4576,0.292,,maxiter = 200,NA
uDreyfus2_CaDENCE:optim.BFGS_10,17:38:49.332,17:38:50.884,1.552,0.1464,0.1043,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_01,17:41:21.782,17:41:21.782,0,0.1123,0.0901,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_02,17:41:21.782,17:41:21.798,0.016,0.157,0.1188,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_03,17:41:21.798,17:41:21.798,0,0.0906,0.0725,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_04,17:41:21.798,17:41:21.814,0.016,0.1303,0.1014,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_05,17:41:21.814,17:41:21.814,0,0.0906,0.0724,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_06,17:41:21.814,17:41:21.829,0.015,0.0907,0.0725,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_07,17:41:21.829,17:41:21.829,0,0.1123,0.0901,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_08,17:41:21.845,17:41:21.845,0,0.1123,0.09,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_09,17:41:21.845,17:41:21.845,0,0.0906,0.0725,,maxiter = 200,NA
uDreyfus2_MachineShop:optim.BFGS_10,17:41:21.860,17:41:21.860,0,0.0907,0.0725,,maxiter = 200,NA
uDreyfus2_minpack.lm:LM_01,17:43:20.310,17:43:20.325,0.015,0.0906,0.0723,,maxiter = 200,NA
