event,start,end,duration,RMSE,MAE,stars,params,comment
uGauss2_AMORE:ADAPTgd_01,10:56:16.035,10:56:16.355,0.32,3.929,2.8087,,iter=5000,NA
uGauss2_AMORE:ADAPTgd_02,10:56:16.355,10:56:16.689,0.334,4.2356,2.9431,,iter=5000,NA
uGauss2_AMORE:ADAPTgd_03,10:56:16.691,10:56:17.016,0.325,6.1226,4.456,,iter=5000,NA
uGauss2_AMORE:ADAPTgd_04,10:56:17.018,10:56:17.371,0.353,3.8787,2.7976,,iter=5000,NA
uGauss2_AMORE:ADAPTgd_05,10:56:17.371,10:56:17.705,0.334,4.4245,3.0254,,iter=5000,NA
uGauss2_AMORE:ADAPTgd_06,10:56:17.707,10:56:18.033,0.326,3.9963,2.838,,iter=5000,NA
uGauss2_AMORE:ADAPTgd_07,10:56:18.035,10:56:18.355,0.32,4.0566,3.3069,,iter=5000,NA
uGauss2_AMORE:ADAPTgd_08,10:56:18.355,10:56:18.694,0.339,3.8217,3.1583,,iter=5000,NA
uGauss2_AMORE:ADAPTgd_09,10:56:18.696,10:56:19.027,0.331,3.8465,2.7736,,iter=5000,NA
uGauss2_AMORE:ADAPTgd_10,10:56:19.029,10:56:19.356,0.327,3.8448,2.7695,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_01,10:57:42.713,10:57:43.151,0.438,5.0551,3.5579,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_02,10:57:43.153,10:57:43.569,0.416,3.6046,2.9919,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_03,10:57:43.569,10:57:44.016,0.447,3.605,2.9916,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_04,10:57:44.018,10:57:44.449,0.431,3.4639,2.8618,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_05,10:57:44.449,10:57:44.884,0.435,3.6132,3.0033,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_06,10:57:44.884,10:57:45.314,0.43,12.1114,6.3452,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_07,10:57:45.329,10:57:45.766,0.437,3.8524,3.1911,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_08,10:57:45.766,10:57:46.204,0.438,3.6043,2.9917,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_09,10:57:46.204,10:57:46.641,0.437,12.1174,6.3286,,iter=5000,NA
uGauss2_AMORE:ADAPTgdwm_10,10:57:46.657,10:57:47.099,0.442,3.8219,3.1691,,iter=5000,NA
uGauss2_AMORE:BATCHgd_01,11:00:16.405,11:00:17.297,0.892,16.9062,13.132,,iter=5000,NA
uGauss2_AMORE:BATCHgd_02,11:00:17.300,11:00:18.196,0.896,17.6231,13.4946,,iter=5000,NA
uGauss2_AMORE:BATCHgd_03,11:00:18.196,11:00:19.101,0.905,16.4017,12.8192,,iter=5000,NA
uGauss2_AMORE:BATCHgd_04,11:00:19.101,11:00:20.012,0.911,16.5709,13.4155,,iter=5000,NA
uGauss2_AMORE:BATCHgd_05,11:00:20.012,11:00:20.927,0.915,15.86,12.855,,iter=5000,NA
uGauss2_AMORE:BATCHgd_06,11:00:20.929,11:00:21.829,0.9,17.1975,13.5749,,iter=5000,NA
uGauss2_AMORE:BATCHgd_07,11:00:21.829,11:00:22.781,0.952,16.1092,12.5114,,iter=5000,NA
