event,start,end,duration,RMSE,MAE,stars,params,comment
uNeuroOne_AMORE:ADAPTgd_01,10:56:22.720,10:56:22.867,0.147,0.2857,0.2335,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgd_02,10:56:22.868,10:56:23.015,0.147,0.2856,0.2333,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgd_03,10:56:23.017,10:56:23.168,0.151,0.2857,0.2334,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgd_04,10:56:23.169,10:56:23.320,0.151,0.2857,0.2335,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgd_05,10:56:23.322,10:56:23.474,0.152,0.2858,0.2335,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgd_06,10:56:23.475,10:56:23.621,0.146,0.2859,0.2337,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgd_07,10:56:23.621,10:56:23.783,0.162,0.2857,0.2334,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgd_08,10:56:23.785,10:56:23.936,0.151,0.2858,0.2335,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgd_09,10:56:23.938,10:56:24.090,0.152,0.2859,0.2337,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgd_10,10:56:24.092,10:56:24.245,0.153,0.2858,0.2335,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_01,10:57:51.656,10:57:51.826,0.17,0.2854,0.229,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_02,10:57:51.827,10:57:51.994,0.167,0.2854,0.229,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_03,10:57:51.996,10:57:52.161,0.165,0.2854,0.229,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_04,10:57:52.163,10:57:52.326,0.163,0.2838,0.2294,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_05,10:57:52.328,10:57:52.495,0.167,0.2854,0.229,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_06,10:57:52.496,10:57:52.658,0.162,0.2838,0.2294,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_07,10:57:52.659,10:57:52.820,0.161,0.2838,0.2294,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_08,10:57:52.820,10:57:52.989,0.169,0.2837,0.2295,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_09,10:57:52.991,10:57:53.156,0.165,0.2843,0.2292,,iter=5000,NA
uNeuroOne_AMORE:ADAPTgdwm_10,10:57:53.158,10:57:53.323,0.165,0.2843,0.2292,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_01,11:00:34.909,11:00:35.629,0.72,0.4136,0.3333,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_02,11:00:35.629,11:00:36.378,0.749,0.4139,0.3335,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_03,11:00:36.380,11:00:37.067,0.687,0.636,0.5045,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_04,11:00:37.067,11:00:37.770,0.703,0.4327,0.3485,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_05,11:00:37.771,11:00:38.472,0.701,0.4191,0.3347,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_06,11:00:38.474,11:00:39.176,0.702,0.4424,0.3544,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_07,11:00:39.178,11:00:39.884,0.706,0.4174,0.3368,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_08,11:00:39.885,11:00:40.595,0.71,0.4166,0.3321,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_09,11:00:40.597,11:00:41.309,0.712,0.4234,0.3419,,iter=5000,NA
uNeuroOne_AMORE:BATCHgd_10,11:00:41.311,11:00:42.021,0.71,0.4182,0.3375,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_01,11:03:06.419,11:03:07.125,0.706,0.913,0.7584,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_02,11:03:07.125,11:03:07.858,0.733,0.9549,0.7902,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_03,11:03:07.859,11:03:08.577,0.718,0.9511,0.788,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_04,11:03:08.579,11:03:09.289,0.71,0.8818,0.7329,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_05,11:03:09.289,11:03:10.015,0.726,0.9187,0.7633,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_06,11:03:10.017,11:03:10.728,0.711,0.9468,0.7922,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_07,11:03:10.744,11:03:11.450,0.706,0.9663,0.8058,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_08,11:03:11.466,11:03:12.182,0.716,0.9401,0.782,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_09,11:03:12.182,11:03:12.904,0.722,0.9457,0.7835,,iter=5000,NA
uNeuroOne_AMORE:BATCHgdwm_10,11:03:12.904,11:03:13.618,0.714,0.9439,0.7753,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_01,11:09:58.982,11:09:59.031,0.049,0.284,0.2326,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_02,11:09:59.033,11:09:59.085,0.052,0.2946,0.2362,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_03,11:09:59.092,11:09:59.141,0.049,0.2837,0.2299,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_04,11:09:59.143,11:09:59.192,0.049,0.2869,0.2333,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_05,11:09:59.193,11:09:59.242,0.049,0.2859,0.2381,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_06,11:09:59.244,11:09:59.296,0.052,0.2862,0.2345,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_07,11:09:59.298,11:09:59.350,0.052,0.284,0.233,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_08,11:09:59.352,11:09:59.409,0.057,0.2886,0.241,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_09,11:09:59.411,11:09:59.461,0.05,0.2842,0.231,,iter=5000,NA
uNeuroOne_ANN2::neuralnetwork_adam_10,11:09:59.463,11:09:59.512,0.049,0.2842,0.2359,,iter=5000,NA
