"","CaDENCE::optim","h2o::first-order","monmlp::BFGS","monmlp::Nelder-Mead","radiant.model::none","traineR::none"
"RMSE.1",4.441,4.5704,4.5799,6.4428,10.9572,4.8244
"MSE.1",19.7228,20.8888,20.9755,41.5098,120.0608,23.2744
"MAE.1",3.6976,3.7135,3.7331,5.2062,8.7685,3.9614
"WAE.1",14.8991,16.8486,17.0086,30.8996,42.6188,15.4655
"time.1",281.137,129.335,8.957,36.996,0.01,4.035
"RMSE.2",3.7995,4.5803,4.5442,6.5587,10.9572,3.5488
"MSE.2",14.4361,20.979,20.6497,43.0165,120.0608,12.5939
"MAE.2",3.0423,3.7211,3.7045,5.2756,8.7685,2.8517
"WAE.2",17.9119,18.4428,17.0483,24.5447,42.6188,14.0257
"time.2",230.945,131.175,8.493,36.5,0.008,3.107
"RMSE.3",4.7062,4.7179,4.5629,5.9352,10.9572,4.5778
"MSE.3",22.1479,22.2585,20.82,35.2262,120.0608,20.9562
"MAE.3",3.799,3.7974,3.7793,4.7879,8.7685,3.7319
"WAE.3",16.5927,17.0823,14.7057,27.0545,42.6188,16.9642
"time.3",199.26,118.259,8.647,36.255,0.002,3.511
"RMSE.4",4.7062,4.5757,4.7005,6.5767,10.9572,4.5525
"MSE.4",22.1482,20.9367,22.0946,43.2527,120.0608,20.7251
"MAE.4",3.7994,3.7252,3.8032,5.2859,8.7685,3.7091
"WAE.4",16.5541,16.5958,15.3065,28.3001,42.6188,17.9485
"time.4",244.292,121.283,8.613,37.215,0.002,3.155
"RMSE.5",3.5522,4.5704,4.7005,6.2521,10.9572,3.564
"MSE.5",12.618,20.8882,22.0948,39.0881,120.0608,12.7018
"MAE.5",2.8558,3.7289,3.8031,4.9554,8.7685,2.8679
"WAE.5",13.924,16.6996,15.3086,26.963,42.6188,14.1657
"time.5",245.869,129.448,8.645,36.741,0.002,3.79
"RMSE.6",5.7935,5.382,4.7064,6.7796,10.9572,4.6998
"MSE.6",33.5645,28.9657,22.1506,45.9635,120.0608,22.0878
"MAE.6",4.7529,4.3177,3.7989,5.4884,8.7685,3.8028
"WAE.6",19.2572,17.8556,16.5766,26.512,42.6188,15.3042
"time.6",232.086,135.179,8.7,36.371,0.002,3.039
"RMSE.7",3.3667,4.7181,4.7007,7.1404,10.9572,4.9092
"MSE.7",11.3344,22.2607,22.0963,50.9853,120.0608,24.1001
"MAE.7",2.6935,3.8006,3.8033,5.7518,8.7685,4.1269
"WAE.7",16.3737,17.0501,15.31,28.8302,42.6188,15.3071
"time.7",229.303,137.289,8.608,35.628,0.003,3.203
"RMSE.8",5.7895,4.581,4.7063,6.4738,10.9572,3.5517
"MSE.8",33.518,20.9858,22.1488,41.9106,120.0608,12.6148
"MAE.8",4.7453,3.7243,3.7985,5.2367,8.7685,2.849
"WAE.8",18.805,18.3557,16.5896,25.3279,42.6188,13.8018
"time.8",196.444,132.463,8.576,35.572,0.003,3.136
"RMSE.9",4.5615,5.3797,4.7008,5.8579,10.9572,4.5728
"MSE.9",20.8074,28.9408,22.0973,34.3145,120.0608,20.9109
"MAE.9",3.7785,4.3145,3.8034,4.6839,8.7685,3.7276
"WAE.9",14.7167,17.8902,15.3277,29.8394,42.6188,16.8314
"time.9",243.472,122.204,8.573,36.266,0.002,3.152
"RMSE.10",4.6535,5.3824,4.7007,7.0214,10.9572,5.0508
"MSE.10",21.6547,28.9707,22.0963,49.3006,120.0608,25.5106
"MAE.10",3.8312,4.3157,3.8034,5.6601,8.7685,4.1984
"WAE.10",16.9833,18.0382,15.3045,26.1712,42.6188,15.8245
"time.10",182.402,123.298,8.688,35.657,0.002,2.447
