event,RMSE,MSE,MAE,WAE,time
bWoodN1_CaDENCE::cadence.fit_optim_01,4.441,19.7228,3.6976,14.8991,281.137
bWoodN1_CaDENCE::cadence.fit_optim_02,3.7995,14.4361,3.0423,17.9119,230.945
bWoodN1_CaDENCE::cadence.fit_optim_03,4.7062,22.1479,3.799,16.5927,199.26
bWoodN1_CaDENCE::cadence.fit_optim_04,4.7062,22.1482,3.7994,16.5541,244.292
bWoodN1_CaDENCE::cadence.fit_optim_05,3.5522,12.618,2.8558,13.924,245.869
bWoodN1_CaDENCE::cadence.fit_optim_06,5.7935,33.5645,4.7529,19.2572,232.086
bWoodN1_CaDENCE::cadence.fit_optim_07,3.3667,11.3344,2.6935,16.3737,229.303
bWoodN1_CaDENCE::cadence.fit_optim_08,5.7895,33.518,4.7453,18.805,196.444
bWoodN1_CaDENCE::cadence.fit_optim_09,4.5615,20.8074,3.7785,14.7167,243.472
bWoodN1_CaDENCE::cadence.fit_optim_10,4.6535,21.6547,3.8312,16.9833,182.402
bWoodN1_h2o::deeplearning_first-order_01,4.5704,20.8888,3.7135,16.8486,129.335
bWoodN1_h2o::deeplearning_first-order_02,4.5803,20.979,3.7211,18.4428,131.175
bWoodN1_h2o::deeplearning_first-order_03,4.7179,22.2585,3.7974,17.0823,118.259
bWoodN1_h2o::deeplearning_first-order_04,4.5757,20.9367,3.7252,16.5958,121.283
bWoodN1_h2o::deeplearning_first-order_05,4.5704,20.8882,3.7289,16.6996,129.448
bWoodN1_h2o::deeplearning_first-order_06,5.382,28.9657,4.3177,17.8556,135.179
bWoodN1_h2o::deeplearning_first-order_07,4.7181,22.2607,3.8006,17.0501,137.289
bWoodN1_h2o::deeplearning_first-order_08,4.581,20.9858,3.7243,18.3557,132.463
bWoodN1_h2o::deeplearning_first-order_09,5.3797,28.9408,4.3145,17.8902,122.204
bWoodN1_h2o::deeplearning_first-order_10,5.3824,28.9707,4.3157,18.0382,123.298
bWoodN1_monmlp::monmlp.fit_BFGS_01,4.5799,20.9755,3.7331,17.0086,8.957
bWoodN1_monmlp::monmlp.fit_BFGS_02,4.5442,20.6497,3.7045,17.0483,8.493
bWoodN1_monmlp::monmlp.fit_BFGS_03,4.5629,20.82,3.7793,14.7057,8.647
bWoodN1_monmlp::monmlp.fit_BFGS_04,4.7005,22.0946,3.8032,15.3065,8.613
bWoodN1_monmlp::monmlp.fit_BFGS_05,4.7005,22.0948,3.8031,15.3086,8.645
bWoodN1_monmlp::monmlp.fit_BFGS_06,4.7064,22.1506,3.7989,16.5766,8.7
bWoodN1_monmlp::monmlp.fit_BFGS_07,4.7007,22.0963,3.8033,15.31,8.608
bWoodN1_monmlp::monmlp.fit_BFGS_08,4.7063,22.1488,3.7985,16.5896,8.576
bWoodN1_monmlp::monmlp.fit_BFGS_09,4.7008,22.0973,3.8034,15.3277,8.573
bWoodN1_monmlp::monmlp.fit_BFGS_10,4.7007,22.0963,3.8034,15.3045,8.688
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_01,6.4428,41.5098,5.2062,30.8996,36.996
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_02,6.5587,43.0165,5.2756,24.5447,36.5
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_03,5.9352,35.2262,4.7879,27.0545,36.255
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_04,6.5767,43.2527,5.2859,28.3001,37.215
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_05,6.2521,39.0881,4.9554,26.963,36.741
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_06,6.7796,45.9635,5.4884,26.512,36.371
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_07,7.1404,50.9853,5.7518,28.8302,35.628
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_08,6.4738,41.9106,5.2367,25.3279,35.572
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_09,5.8579,34.3145,4.6839,29.8394,36.266
bWoodN1_monmlp::monmlp.fit_Nelder-Mead_10,7.0214,49.3006,5.6601,26.1712,35.657
bWoodN1_radiant.model::nn_none_01,10.9572,120.0608,8.7685,42.6188,0.01
bWoodN1_radiant.model::nn_none_02,10.9572,120.0608,8.7685,42.6188,0.008
bWoodN1_radiant.model::nn_none_03,10.9572,120.0608,8.7685,42.6188,0.002
bWoodN1_radiant.model::nn_none_04,10.9572,120.0608,8.7685,42.6188,0.002
bWoodN1_radiant.model::nn_none_05,10.9572,120.0608,8.7685,42.6188,0.002
bWoodN1_radiant.model::nn_none_06,10.9572,120.0608,8.7685,42.6188,0.002
bWoodN1_radiant.model::nn_none_07,10.9572,120.0608,8.7685,42.6188,0.003
bWoodN1_radiant.model::nn_none_08,10.9572,120.0608,8.7685,42.6188,0.003
bWoodN1_radiant.model::nn_none_09,10.9572,120.0608,8.7685,42.6188,0.002
