"event","RMSE","MSE","MAE","WAE","time"
"bWoodN1_MachineShop::fit_none_01",4.9098,24.1063,4.1272,15.2977,3
"bWoodN1_MachineShop::fit_none_02",5.0506,25.5081,4.1983,15.801,4.025
"bWoodN1_MachineShop::fit_none_03",4.8781,23.796,3.8942,23.3501,2.77
"bWoodN1_MachineShop::fit_none_04",4.8496,23.5183,3.9767,18.2258,4.586
"bWoodN1_MachineShop::fit_none_05",4.6998,22.0885,3.8028,15.3019,3.777
"bWoodN1_MachineShop::fit_none_06",4.5614,20.8065,3.7785,14.704,4.333
"bWoodN1_MachineShop::fit_none_07",4.6998,22.0877,3.8028,15.3056,3.368
"bWoodN1_MachineShop::fit_none_08",5.214,27.1861,4.3173,16.443,4.021
"bWoodN1_MachineShop::fit_none_09",4.6997,22.0868,3.8027,15.3037,3.381
"bWoodN1_MachineShop::fit_none_10",3.5518,12.615,2.849,13.836,3.328
"bWoodN1_MachineShop::fit_none_11",5.358,28.7083,4.2916,16.2406,3.226
"bWoodN1_MachineShop::fit_none_12",3.5589,12.6658,2.8613,13.7106,4.043
"bWoodN1_MachineShop::fit_none_13",6.1621,37.971,5.0122,20.9823,3.387
"bWoodN1_MachineShop::fit_none_14",3.5467,12.5794,2.8554,14.1641,2.71
"bWoodN1_MachineShop::fit_none_15",5.7541,33.11,4.6368,19.5728,3.025
"bWoodN1_MachineShop::fit_none_16",4.7515,22.5763,3.9075,17.099,4.071
"bWoodN1_MachineShop::fit_none_17",4.7614,22.6713,3.9193,17.8265,3.412
"bWoodN1_MachineShop::fit_none_18",5.658,32.0127,4.5442,19.3023,2.896
"bWoodN1_MachineShop::fit_none_19",4.5419,20.6288,3.7028,17.0295,3.956
"bWoodN1_MachineShop::fit_none_20",4.4322,19.6443,3.6957,15.1032,3.937
"bWoodN1_nlsr::nlxb_none_01",4.7609,22.6659,3.9191,17.826,87.249
"bWoodN1_nlsr::nlxb_none_02",4.7055,22.142,3.7984,16.5943,38.575
"bWoodN1_nlsr::nlxb_none_03",3.5512,12.6113,2.8486,13.8512,84.399
"bWoodN1_nlsr::nlxb_none_04",4.5724,20.907,3.7271,16.8608,79.973
"bWoodN1_nlsr::nlxb_none_05",5.0502,25.505,4.1981,15.7891,76.876
"bWoodN1_nlsr::nlxb_none_06",4.9339,24.3438,3.9894,18.5868,76.521
"bWoodN1_nlsr::nlxb_none_07",4.0128,16.1023,3.2181,19.7199,76.579
"bWoodN1_nlsr::nlxb_none_08",4.5904,21.0719,3.7986,14.6924,76.522
"bWoodN1_nlsr::nlxb_none_09",4.6995,22.0852,3.8026,15.2959,62.913
"bWoodN1_nlsr::nlxb_none_10",4.926,24.2656,4.035,18.8921,73.751
"bWoodN1_nlsr::nlxb_none_11",3.909,15.2804,3.1321,20.676,28.502
"bWoodN1_nlsr::nlxb_none_12",4.7094,22.1789,3.8089,16.13,84.103
"bWoodN1_nlsr::nlxb_none_13",4.7055,22.142,3.7984,16.5943,41.275
"bWoodN1_nlsr::nlxb_none_14",5.7255,32.7812,4.6155,19.2848,79.783
"bWoodN1_nlsr::nlxb_none_15",4.4513,19.8144,3.7171,14.879,81.999
"bWoodN1_nlsr::nlxb_none_16",4.7111,22.1949,3.8121,16.1417,78.726
"bWoodN1_nlsr::nlxb_none_17",4.6995,22.0852,3.8026,15.2959,74.856
"bWoodN1_nlsr::nlxb_none_18",3.5482,12.5896,2.8515,13.9362,85.093
"bWoodN1_nlsr::nlxb_none_19",5.3605,28.7345,4.2933,16.5349,83.838
"bWoodN1_nlsr::nlxb_none_20",4.7055,22.142,3.7984,16.5943,38.163
