"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.128,0.4391,0.4564,0.0173,0.3246,2.0005,1
"AMORE::train_ADAPTgdwm",0.184,0.3972,0.4012,0.004,0.3084,1.7312,2
"AMORE::train_BATCHgd",1.87,1.8688,1.8999,0.0310999999999999,1.5158,8.6487,3
"AMORE::train_BATCHgdwm",1.862,1.8586,1.9806,0.122,1.499,11.2445,4
"ANN2::neuralnetwork_adam",0.218,1.798,2.0396,0.2416,1.5178,11.5812,5
"ANN2::neuralnetwork_rmsprop",0.206,1.9463,2.0761,0.1298,1.524,12.6858,6
"ANN2::neuralnetwork_sgd",0.204,1.2208,2.0228,0.802,1.4953,8.6218,7
"automl::automl_train_manual_trainwgrad_adam",9.584,0.4255,0.616,0.1905,0.471,3.2585,8
"automl::automl_train_manual_trainwgrad_RMSprop",8.632,0.4821,0.6996,0.2175,0.5006,3.8172,9
"automl::automl_train_manual_trainwpso",13.696,2.7275,4.9634,2.2359,3.7904,24.2831,10
"brnn::brnn_Gauss-Newton",0.216,0.4578,1.9537,1.4959,1.4572,11.8945,11
"CaDENCE::cadence.fit_optim",7.072,0.3277,2.5664,2.2387,1.2936,17.3208,12
"CaDENCE::cadence.fit_psoptim",11.258,3.1663,3.6338,0.4675,2.1362,22.3798,13
"CaDENCE::cadence.fit_Rprop",17.178,4.6664,5.7488,1.0824,3.4794,31.0108,14
"caret::avNNet_none",0.252,0.3175,0.3514,0.0339,0.2681,1.8536,15
"deepdive::deepnet_adam",0.738,3.0971,3.0971,0,2.064,18.6373,16
"deepdive::deepnet_gradientDescent",7.266,4.431,4.431,0,3.2628,20.7622,17
"deepdive::deepnet_momentum",7.434,4.199,4.199,0,3.1011,18.5512,18
"deepdive::deepnet_rmsProp",0.758,2.7205,2.7205,0,1.8705,16.178,19
"deepnet::nn.train_BP",0.648,0.5308,0.6403,0.1095,0.5135,2.7237,20
"elmNNRcpp::elm_train_extremeML",0.004,7.3193,7.6899,0.3706,5.9574,32.3344,21
"ELMR::OSelm_train.formula_extremeML",0.018,6.3469,7.231,0.8841,5.5344,32.0052,22
"EnsembleBase::Regression.Batch.Fit_none",0.026,0.877,13.9426,13.0656,11.3013,47.5398,23
"h2o::h2o.deeplearning_first-order",6.274,0.3696,0.3789,0.00930000000000003,0.2948,1.3228,24
"keras::fit_adadelta",29.372,2.0733,2.308,0.2347,1.589,13.708,25
"keras::fit_adagrad",18.384,1.5412,2.2114,0.6702,1.5982,12.7204,26
"keras::fit_adam",2.068,0.7615,1.0487,0.2872,0.7949,6.3699,27
"keras::fit_adamax",4.386,0.6492,0.6952,0.046,0.5462,4.1959,28
"keras::fit_nadam",3.422,1.0271,1.2485,0.2214,0.9787,4.979,29
"keras::fit_rmsprop",1.836,2.678,3.2516,0.5736,2.3382,16.3052,30
"keras::fit_sgd",8.816,0.5726,2.3026,1.73,1.6878,10.2998,31
"MachineShop::fit_none",0.076,0.257,1.2314,0.9744,0.9854,8.0327,32
"minpack.lm::nlsLM_none",0.242,0.6081,0.6081,0,0.4989,1.9776,33
"monmlp::monmlp.fit_BFGS",0.298,0.3732,0.4512,0.078,0.338,1.8359,34
"monmlp::monmlp.fit_Nelder-Mead",1.1,3.0247,3.4557,0.431,2.5277,18.0917,35
"neuralnet::neuralnet_backprop",14.2,8.1656,8.1656,0,6.5262,36.2385,36
"neuralnet::neuralnet_rprop-",6.318,0.5338,2.0473,1.5135,1.4437,12.5391,37
"neuralnet::neuralnet_rprop+",3.836,0.4859,0.5467,0.0608,0.4149,2.341,38
"neuralnet::neuralnet_sag",12.916,2.1196,8.1656,6.046,6.5262,36.2385,39
"neuralnet::neuralnet_slr",6.914,0.5494,0.5688,0.0194,0.4293,2.4012,40
"nlsr::nlxb_none",0.522,0.14,0.45,0.31,0.3497,2.7841,41
"nnet::nnet_none",0.078,0.265,0.4735,0.2085,0.3557,2.0121,42
"qrnn::qrnn.fit_none",0.518,0.3632,0.7514,0.3882,0.4482,6.6249,43
"radiant.model::nn_none",0.112,0.2621,0.5412,0.2791,0.4096,2.1475,44
"rminer::fit_none",0.248,0.2335,0.3147,0.0812,0.2456,1.2905,45
"RSNNS::mlp_BackpropBatch",6.752,1.9746,2.017,0.0424,1.5451,10.0256,46
"RSNNS::mlp_BackpropChunk",0.702,0.5892,0.7126,0.1234,0.5252,2.8993,47
"RSNNS::mlp_BackpropMomentum",0.688,0.6547,0.7744,0.1197,0.5909,3.1612,48
"RSNNS::mlp_BackpropWeightDecay",0.654,0.6328,0.7698,0.137,0.5856,3.0364,49
"RSNNS::mlp_Quickprop",7.46,7.1667,7.319,0.1523,6.0055,29.6111,50
"RSNNS::mlp_Rprop",0.692,0.7757,1.2553,0.4796,0.9246,7.6985,51
"RSNNS::mlp_SCG",1.156,0.4652,1.7312,1.266,1.2784,7.8765,52
"RSNNS::mlp_Std_Backpropagation",0.638,0.4789,0.5588,0.0799,0.4219,2.0582,53
"snnR::snnR_none",0.14,1.9864,1.9864,0,1.5889,8.8501,54
"traineR::train.nnet_none",0.078,0.4539,0.5799,0.126,0.4649,2.6448,55
"validann::ann_BFGS",1.712,0.273,0.4266,0.1536,0.3155,1.932,56
"validann::ann_CG",11.228,0.3813,0.4231,0.0418,0.3165,1.8043,57
"validann::ann_L-BFGS-B",1.828,0.4455,1.5927,1.1472,1.1539,8.9132,58
"validann::ann_Nelder-Mead",2.126,3.1073,3.5453,0.438,2.7197,17.3854,59
"validann::ann_SANN",0.172,3.3417,4.0522,0.7105,2.9633,19.6574,60
