event,RMSE,MSE,MAE,WAE,time
mDette_AMORE::train_ADAPTgd_01,1.6532,2.733,1.2296,9.8381,0.14
mDette_AMORE::train_ADAPTgd_02,2.294,5.2623,1.7976,9.5432,0.13
mDette_AMORE::train_ADAPTgd_03,2.2508,5.0661,1.7377,10.4132,0.12
mDette_AMORE::train_ADAPTgd_04,1.9516,3.8086,1.5626,7.6447,0.12
mDette_AMORE::train_ADAPTgd_05,1.9516,3.8087,1.5626,7.642,0.13
mDette_AMORE::train_ADAPTgd_06,2.2487,5.0566,1.7352,10.4988,0.12
mDette_AMORE::train_ADAPTgd_07,2.2322,4.9828,1.7238,10.6615,0.13
mDette_AMORE::train_ADAPTgd_08,2.2432,5.0318,1.7323,10.4933,0.13
mDette_AMORE::train_ADAPTgd_09,2.3133,5.3516,1.7882,9.4955,0.12
mDette_AMORE::train_ADAPTgd_10,1.9516,3.8087,1.5626,7.646,0.11
mDette_AMORE::train_ADAPTgdwm_01,0.4196,0.176,0.3191,1.7387,0.19
mDette_AMORE::train_ADAPTgdwm_02,0.4024,0.1619,0.307,1.7398,0.17
mDette_AMORE::train_ADAPTgdwm_03,0.4042,0.1634,0.3077,1.7423,0.17
mDette_AMORE::train_ADAPTgdwm_04,0.3895,0.1517,0.2986,1.699,0.17
mDette_AMORE::train_ADAPTgdwm_05,0.4087,0.1671,0.3106,1.7398,0.19
mDette_AMORE::train_ADAPTgdwm_06,0.4165,0.1735,0.3128,1.6714,0.19
mDette_AMORE::train_ADAPTgdwm_07,0.404,0.1632,0.3073,1.7306,0.18
mDette_AMORE::train_ADAPTgdwm_08,0.4106,0.1686,0.3106,1.7119,0.18
mDette_AMORE::train_ADAPTgdwm_09,0.4109,0.1688,0.313,1.7507,0.18
mDette_AMORE::train_ADAPTgdwm_10,0.3986,0.1589,0.3059,1.7596,0.17
mDette_AMORE::train_BATCHgd_01,2.004,4.0159,1.477,12.1522,1.88
mDette_AMORE::train_BATCHgd_02,1.8652,3.4789,1.5179,7.6593,1.86
mDette_AMORE::train_BATCHgd_03,1.855,3.4411,1.5105,7.8171,1.86
mDette_AMORE::train_BATCHgd_04,2.0044,4.0175,1.4835,12.1594,1.9
mDette_AMORE::train_BATCHgd_05,1.8592,3.4566,1.5138,7.7904,1.89
