event,RMSE,MSE,MAE,WAE,time
mFriedman_AMORE::train_ADAPTgd_01,0.03,0.0009,0.0239,0.1145,0.12
mFriedman_AMORE::train_ADAPTgd_02,0.0389,0.0015,0.0271,0.1598,0.14
mFriedman_AMORE::train_ADAPTgd_03,0.03,0.0009,0.0239,0.1128,0.14
mFriedman_AMORE::train_ADAPTgd_04,0.0299,0.0009,0.0237,0.1145,0.14
mFriedman_AMORE::train_ADAPTgd_05,0.0268,0.0007,0.0215,0.0784,0.14
mFriedman_AMORE::train_ADAPTgd_06,0.0278,0.0008,0.0217,0.0979,0.13
mFriedman_AMORE::train_ADAPTgd_07,0.0297,0.0009,0.0236,0.1139,0.13
mFriedman_AMORE::train_ADAPTgd_08,0.03,0.0009,0.0237,0.1163,0.12
mFriedman_AMORE::train_ADAPTgd_09,0.0298,0.0009,0.0237,0.1128,0.12
mFriedman_AMORE::train_ADAPTgd_10,0.0298,0.0009,0.0237,0.1144,0.13
mFriedman_AMORE::train_ADAPTgdwm_01,0.045,0.002,0.0347,0.179,0.2
mFriedman_AMORE::train_ADAPTgdwm_02,0.0455,0.0021,0.0352,0.1783,0.2
mFriedman_AMORE::train_ADAPTgdwm_03,0.0439,0.0019,0.0321,0.166,0.19
mFriedman_AMORE::train_ADAPTgdwm_04,0.0455,0.0021,0.0352,0.1783,0.2
mFriedman_AMORE::train_ADAPTgdwm_05,0.0451,0.002,0.0315,0.189,0.19
mFriedman_AMORE::train_ADAPTgdwm_06,0.0455,0.0021,0.0352,0.1783,0.19
mFriedman_AMORE::train_ADAPTgdwm_07,0.0452,0.002,0.0316,0.1884,0.2
mFriedman_AMORE::train_ADAPTgdwm_08,0.0459,0.0021,0.0356,0.1741,0.19
mFriedman_AMORE::train_ADAPTgdwm_09,0.0455,0.0021,0.0352,0.1783,0.2
mFriedman_AMORE::train_ADAPTgdwm_10,0.0455,0.0021,0.0352,0.1783,0.2
mFriedman_AMORE::train_BATCHgd_01,0.021,0.0004,0.0163,0.0712,1.83
mFriedman_AMORE::train_BATCHgd_02,0.0174,0.0003,0.0136,0.0558,1.83
mFriedman_AMORE::train_BATCHgd_03,0.0187,0.0003,0.0146,0.0647,1.82
mFriedman_AMORE::train_BATCHgd_04,0.0186,0.0003,0.0145,0.0657,1.8
mFriedman_AMORE::train_BATCHgd_05,0.0176,0.0003,0.0137,0.0552,1.83
mFriedman_AMORE::train_BATCHgd_06,0.0177,0.0003,0.014,0.0624,1.86
mFriedman_AMORE::train_BATCHgd_07,0.019,0.0004,0.015,0.0628,1.83
mFriedman_AMORE::train_BATCHgd_08,0.0176,0.0003,0.0139,0.0599,1.84
mFriedman_AMORE::train_BATCHgd_09,0.0178,0.0003,0.014,0.0601,1.85
mFriedman_AMORE::train_BATCHgd_10,0.0178,0.0003,0.0141,0.0648,1.84
mFriedman_AMORE::train_BATCHgdwm_01,0.0178,0.0003,0.0141,0.0609,1.87
mFriedman_AMORE::train_BATCHgdwm_02,0.0192,0.0004,0.0149,0.0669,1.87
mFriedman_AMORE::train_BATCHgdwm_03,0.0186,0.0003,0.0145,0.0672,1.91
mFriedman_AMORE::train_BATCHgdwm_04,0.0817,0.0067,0.0747,0.1763,1.86
mFriedman_AMORE::train_BATCHgdwm_05,0.0174,0.0003,0.0136,0.0551,1.85
mFriedman_AMORE::train_BATCHgdwm_06,0.0177,0.0003,0.0139,0.0546,1.92
mFriedman_AMORE::train_BATCHgdwm_07,0.0175,0.0003,0.0138,0.0587,1.86
mFriedman_AMORE::train_BATCHgdwm_08,0.0825,0.0068,0.0749,0.1693,1.86
mFriedman_AMORE::train_BATCHgdwm_09,0.0176,0.0003,0.0137,0.0564,1.9
mFriedman_AMORE::train_BATCHgdwm_10,0.0176,0.0003,0.014,0.0605,1.88
mFriedman_ANN2::neuralnetwork_sgd_01,0.0871,0.0076,0.0771,0.1895,0.2
mFriedman_ANN2::neuralnetwork_sgd_02,0.018,0.0003,0.0141,0.0722,0.22
mFriedman_ANN2::neuralnetwork_sgd_03,0.0182,0.0003,0.0147,0.0654,0.2
mFriedman_ANN2::neuralnetwork_sgd_04,0.0197,0.0004,0.0161,0.0555,0.22
mFriedman_ANN2::neuralnetwork_sgd_05,0.0192,0.0004,0.0157,0.0449,0.22
mFriedman_ANN2::neuralnetwork_sgd_06,0.0221,0.0005,0.0175,0.0824,0.21
mFriedman_ANN2::neuralnetwork_sgd_07,0.0246,0.0006,0.0192,0.0834,0.2
mFriedman_ANN2::neuralnetwork_sgd_08,0.0207,0.0004,0.0162,0.0781,0.2
mFriedman_ANN2::neuralnetwork_sgd_09,0.0179,0.0003,0.0145,0.0564,0.18
mFriedman_ANN2::neuralnetwork_sgd_10,0.0201,0.0004,0.0163,0.0573,0.2
mFriedman_ANN2::neuralnetwork_adam_01,0.0165,0.0003,0.013,0.0508,0.23
mFriedman_ANN2::neuralnetwork_adam_02,0.0166,0.0003,0.0134,0.0529,0.22
mFriedman_ANN2::neuralnetwork_adam_03,0.0203,0.0004,0.0157,0.0811,0.23
mFriedman_ANN2::neuralnetwork_adam_04,0.021,0.0004,0.0165,0.0717,0.22
mFriedman_ANN2::neuralnetwork_adam_05,0.0177,0.0003,0.014,0.0623,0.23
mFriedman_ANN2::neuralnetwork_adam_06,0.0203,0.0004,0.016,0.0698,0.22
mFriedman_ANN2::neuralnetwork_adam_07,0.0217,0.0005,0.0177,0.0701,0.24
mFriedman_ANN2::neuralnetwork_adam_08,0.0245,0.0006,0.0203,0.0638,0.22
mFriedman_ANN2::neuralnetwork_adam_09,0.0829,0.0069,0.0745,0.1543,0.24
mFriedman_ANN2::neuralnetwork_adam_10,0.0169,0.0003,0.0135,0.0503,0.23
mFriedman_ANN2::neuralnetwork_rmsprop_01,0.029,0.0008,0.0237,0.0735,0.22
mFriedman_ANN2::neuralnetwork_rmsprop_02,0.0315,0.001,0.0252,0.1026,0.21
mFriedman_ANN2::neuralnetwork_rmsprop_03,0.0258,0.0007,0.0209,0.0751,0.22
mFriedman_ANN2::neuralnetwork_rmsprop_04,0.0285,0.0008,0.023,0.0901,0.24
mFriedman_ANN2::neuralnetwork_rmsprop_05,0.0323,0.001,0.0245,0.1271,0.2
mFriedman_ANN2::neuralnetwork_rmsprop_06,0.0305,0.0009,0.0244,0.087,0.21
mFriedman_ANN2::neuralnetwork_rmsprop_07,0.0833,0.0069,0.0734,0.1934,0.21
mFriedman_ANN2::neuralnetwork_rmsprop_08,0.0293,0.0009,0.0231,0.099,0.22
mFriedman_ANN2::neuralnetwork_rmsprop_09,0.0338,0.0011,0.0274,0.0979,0.18
mFriedman_ANN2::neuralnetwork_rmsprop_10,0.0307,0.0009,0.0248,0.0926,0.2
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_01,0.0875,0.0077,0.0754,0.2347,8.55
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_02,0.0891,0.0079,0.0705,0.2243,8.84
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_03,0.0843,0.0071,0.075,0.2047,8.11
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_04,0.0849,0.0072,0.0745,0.221,8.7
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_05,0.0859,0.0074,0.0741,0.26,8.44
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_06,0.0846,0.0072,0.0738,0.2052,8.43
mFriedman_automl::automl_train_manual_trainwgrad_RMSprop_07,0.0903,0.0081,0.0768,0.2068,9
