"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.222,0.769,0.8135,0.0445,0.6083,2.9968,1
"AMORE::train_ADAPTgdwm",0.33,0.8636,0.995,0.1314,0.728,3.8394,2
"AMORE::train_BATCHgd",2.624,2.5215,2.5544,0.0328999999999997,2.1768,6.3018,3
"AMORE::train_BATCHgdwm",2.678,2.4805,2.5259,0.0453999999999999,2.1518,6.4536,4
"ANN2::neuralnetwork_adam",1.058,0.756,0.8062,0.0502,0.613,3.5492,5
"ANN2::neuralnetwork_rmsprop",1.048,0.7045,0.859,0.1545,0.6409,2.994,6
"ANN2::neuralnetwork_sgd",1.048,0.7787,0.9097,0.131,0.6798,3.8085,7
"automl::automl_train_manual_trainwgrad_adam",9.932,0.7511,0.7995,0.0484,0.612,2.9212,8
"automl::automl_train_manual_trainwgrad_RMSprop",8.882,1.8225,2.5662,0.7437,2.1749,6.052,9
"automl::automl_train_manual_trainwpso",25.376,1.8381,2.4317,0.5936,1.9867,7.8872,10
"brnn::brnn_Gauss-Newton",0.204,0.6588,0.6635,0.00469999999999993,0.51,2.9395,11
"CaDENCE::cadence.fit_optim",14.912,1.0465,1.6993,0.6528,0.8815,5.3208,12
"CaDENCE::cadence.fit_psoptim",14.936,2.6775,2.7432,0.0656999999999996,2.3281,8.8488,13
"CaDENCE::cadence.fit_Rprop",36.926,1.3422,2.3133,0.9711,1.3927,8.8022,14
"caret::avNNet_none",0.418,1.031,1.6339,0.6029,1.3615,4.7983,15
"deepdive::deepnet_adam",0.902,2.5913,2.5913,0,2.0819,10.0604,16
"deepdive::deepnet_gradientDescent",9.062,3.0218,3.0218,0,2.494,10.236,17
"deepdive::deepnet_momentum",9.22,2.5791,2.5791,0,2.0107,8.7569,18
"deepdive::deepnet_rmsProp",0.892,2.6728,2.6728,0,2.306,7.1452,19
"deepnet::nn.train_BP",0.77,1.0536,1.4687,0.4151,1.019,6.8677,20
"elmNNRcpp::elm_train_extremeML",0,3.0949,3.259,0.1641,2.6511,11.3823,21
"ELMR::OSelm_train.formula_extremeML",0.008,3.2348,3.284,0.0491999999999999,2.6674,12.016,22
"EnsembleBase::Regression.Batch.Fit_none",0.132,0.6342,0.8141,0.1799,0.5735,3.9523,23
"h2o::h2o.deeplearning_first-order",6.462,0.8347,0.8467,0.012,0.6295,3.6234,24
"keras::fit_adadelta",31.676,2.4074,2.6007,0.1933,2.2281,6.9184,25
"keras::fit_adagrad",31.856,0.8522,2.5746,1.7224,2.1958,6.9534,26
"keras::fit_adam",2.796,0.9777,1.0728,0.0951,0.7886,4.0357,27
"keras::fit_adamax",5.302,0.8307,0.8615,0.0308,0.6388,3.6379,28
"keras::fit_nadam",3.264,1.08,2.7592,1.6792,2.3587,8.0273,29
"keras::fit_rmsprop",1.924,2.8335,3.0118,0.1783,2.455,9.4367,30
"keras::fit_sgd",2.788,2.7076,2.7302,0.0226000000000002,2.3252,7.5362,31
"MachineShop::fit_none",0.152,0.6685,2.1956,1.5271,1.7857,5.3089,32
"minpack.lm::nlsLM_none",0.94,2.5379,2.5379,0,2.0524,7.6035,33
"monmlp::monmlp.fit_BFGS",0.46,0.8185,0.9739,0.1554,0.7577,3.6164,34
"monmlp::monmlp.fit_Nelder-Mead",1.6,2.7368,2.8463,0.1095,2.3257,8.7509,35
"neuralnet::neuralnet_backprop",23.958,3.6898,3.6898,0,2.9776,13.1137,36
"neuralnet::neuralnet_rprop-",1.954,0.6728,0.7126,0.0398000000000001,0.5316,2.8674,37
"neuralnet::neuralnet_rprop+",4.596,0.5788,0.665,0.0862000000000001,0.5052,2.7746,38
"neuralnet::neuralnet_sag",25.218,3.6898,3.6898,0,2.9776,13.1137,39
"neuralnet::neuralnet_slr",24.586,0.6816,3.6898,3.0082,2.9776,13.1137,40
"nlsr::nlxb_none",1.47,0.6602,2.2311,1.5709,1.8053,5.7864,41
"nnet::nnet_none",0.152,0.5462,0.6959,0.1497,0.5147,3.0034,42
"qrnn::qrnn.fit_none",1.122,0.7656,0.7907,0.0251,0.4951,4.0838,43
"radiant.model::nn_none",0.172,0.4934,0.7868,0.2934,0.5896,3.125,44
"rminer::fit_none",0.446,0.649,0.6668,0.0177999999999999,0.5016,3.0019,45
"RSNNS::mlp_BackpropBatch",8.542,2.6668,2.6742,0.00740000000000007,2.3004,7.1688,46
"RSNNS::mlp_BackpropChunk",0.816,1.3784,2.6226,1.2442,2.0664,8.9928,47
"RSNNS::mlp_BackpropMomentum",0.822,2.6138,2.6595,0.0457000000000001,2.1268,10.0368,48
"RSNNS::mlp_BackpropWeightDecay",0.854,1.2711,2.0728,0.8017,1.5275,7.9148,49
"RSNNS::mlp_Quickprop",9.656,3.4245,3.5389,0.1144,2.8752,13.1137,50
"RSNNS::mlp_Rprop",0.84,1.3146,2.3451,1.0305,1.8953,6.501,51
"RSNNS::mlp_SCG",1.456,0.698,0.7363,0.0383,0.5439,3.0529,52
"RSNNS::mlp_Std_Backpropagation",0.814,2.7659,2.804,0.0381,2.1912,11.0805,53
"snnR::snnR_none",0.43,0.7757,0.8621,0.0864,0.603,3.473,54
"traineR::train.nnet_none",0.152,0.6846,0.74,0.0554,0.5453,3.2851,55
"validann::ann_BFGS",5.086,0.6342,0.7284,0.0942000000000001,0.5216,3.3533,56
"validann::ann_CG",58.524,0.6427,0.7212,0.0784999999999999,0.5352,3.3323,57
"validann::ann_L-BFGS-B",5.418,0.8502,1.1103,0.2601,0.8812,3.5016,58
"validann::ann_Nelder-Mead",16.114,2.6029,2.6812,0.0783,2.2886,7.2908,59
