event,RMSE,MSE,MAE,WAE,time
mIshigami_brnn::brnn_gaussNewton_01,0.6635,0.4402,0.5099,2.9309,0.32
mIshigami_brnn::brnn_gaussNewton_02,0.6635,0.4402,0.5099,2.9309,0.29
mIshigami_brnn::brnn_gaussNewton_03,0.6726,0.4524,0.512,2.9371,0.24
mIshigami_brnn::brnn_gaussNewton_04,0.6635,0.4402,0.5099,2.9309,0.28
mIshigami_brnn::brnn_gaussNewton_05,2.5838,6.6761,2.2419,6.5182,0.3
mIshigami_brnn::brnn_gaussNewton_06,0.6764,0.4575,0.5137,2.9394,0.2
mIshigami_brnn::brnn_gaussNewton_07,0.6634,0.4402,0.5099,2.931,0.36
mIshigami_brnn::brnn_gaussNewton_08,2.5917,6.7168,2.2467,6.5792,0.19
mIshigami_brnn::brnn_gaussNewton_09,0.6644,0.4415,0.5062,2.9202,0.22
mIshigami_brnn::brnn_gaussNewton_10,0.6645,0.4415,0.5062,2.9204,0.26
mIshigami_brnn::brnn_gaussNewton_11,0.6625,0.4389,0.5099,2.936,0.2
mIshigami_brnn::brnn_gaussNewton_12,2.5918,6.7175,2.2468,6.5808,0.2
mIshigami_brnn::brnn_gaussNewton_13,0.6681,0.4464,0.5166,3.047,0.31
mIshigami_brnn::brnn_gaussNewton_14,0.6634,0.4401,0.5099,2.9312,0.27
mIshigami_brnn::brnn_gaussNewton_15,2.5968,6.7436,2.2495,6.6903,0.17
mIshigami_brnn::brnn_gaussNewton_16,0.6572,0.432,0.5027,3.157,0.46
mIshigami_brnn::brnn_gaussNewton_17,0.6362,0.4048,0.4883,2.6811,0.27
mIshigami_brnn::brnn_gaussNewton_18,2.5907,6.7116,2.2456,6.5675,0.31
mIshigami_brnn::brnn_gaussNewton_19,0.6735,0.4536,0.5123,2.9386,0.21
mIshigami_brnn::brnn_gaussNewton_20,0.6625,0.4389,0.51,2.9355,0.22
mIshigami_CaDENCE::cadence.fit_optim_01,2.1893,4.7929,1.586,8.3393,16.14
