"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.038,3.3184,3.3402,0.0217999999999998,2.3679,13.7131,1
"AMORE::train_ADAPTgdwm",0.05,3.3209,3.5541,0.2332,2.5492,14.1047,2
"AMORE::train_BATCHgd",1.436,3.361,3.5412,0.1802,2.5557,13.2065,3
"AMORE::train_BATCHgdwm",1.438,3.3094,3.4478,0.1384,2.4907,13.627,4
"ANN2::neuralnetwork_adam",0.042,3.4586,3.4861,0.0274999999999999,2.5495,13.6835,5
"ANN2::neuralnetwork_rmsprop",0.05,3.2991,3.3581,0.0589999999999997,2.4231,13.0278,6
"ANN2::neuralnetwork_sgd",0.046,3.519,3.6375,0.1185,2.6189,13.449,7
"automl::automl_train_manual_trainwgrad_adam",2.76,3.4616,3.7944,0.3328,2.7431,15.5607,8
"automl::automl_train_manual_trainwgrad_RMSprop",2.792,3.5937,3.9015,0.3078,2.7453,14.5783,9
"automl::automl_train_manual_trainwpso",6.73,3.7011,3.9237,0.2226,2.8771,13.9777,10
"brnn::brnn_Gauss-Newton",0.02,3.4791,3.4796,0.000500000000000167,2.5068,13.7382,11
"CaDENCE::cadence.fit_optim",3.666,3.2677,3.7049,0.4372,2.6819,15.6761,12
"CaDENCE::cadence.fit_psoptim",7.65,3.7348,3.8749,0.1401,2.7851,15.8749,13
"CaDENCE::cadence.fit_Rprop",9.946,3.7332,4.3519,0.6187,3.0787,16.5513,14
"caret::avNNet_none",0.042,3.2329,3.3749,0.142,2.3825,12.7439,15
"deepdive::deepnet_adam",0.638,3.7605,3.7605,0,2.6651,15.3279,16
"deepdive::deepnet_gradientDescent",5.964,4.1805,4.1805,0,3.1843,14.4946,17
"deepdive::deepnet_momentum",6.09,3.8424,3.8424,0,2.7879,15.0474,18
"deepdive::deepnet_rmsProp",0.638,4.0384,4.0384,0,3.029,15.7099,19
"deepnet::nn.train_BP",0.206,3.4561,3.874,0.4179,2.9819,15.8992,20
"elmNNRcpp::elm_train_extremeML",0,16.4917,18.7626,2.2709,15.3993,53.2953,21
"ELMR::OSelm_train.formula_extremeML",0,9.4764,15.5973,6.1209,12.5855,41.9893,22
"EnsembleBase::Regression.Batch.Fit_none",0.016,3.074,3.438,0.364,2.4557,13.5954,23
"h2o::h2o.deeplearning_first-order",4.408,3.2514,3.5349,0.2835,2.55,14.8677,24
"keras::fit_adadelta",7.872,3.8172,3.9063,0.0890999999999997,2.9028,14.4159,25
"keras::fit_adagrad",3.186,3.8952,3.9503,0.0550999999999999,2.9457,13.8555,26
"keras::fit_adam",1.43,3.9276,4.1763,0.2487,3.1624,14.422,27
"keras::fit_adamax",2.194,3.7083,3.9479,0.2396,2.916,15.5093,28
"keras::fit_nadam",1.434,4.1342,4.5026,0.3684,3.4678,16.1957,29
"keras::fit_rmsprop",0.996,4.5931,6.6007,2.0076,5.4044,17.161,30
"keras::fit_sgd",2.398,3.7419,4.2292,0.4873,3.1633,15.5181,31
"MachineShop::fit_none",0.014,3.1772,3.4737,0.2965,2.4888,13.8862,32
"minpack.lm::nlsLM_none",0.068,3.4318,3.4318,0,2.4646,13.2825,33
"monmlp::monmlp.fit_BFGS",0.224,3.236,3.2363,0.000299999999999745,2.2071,14.2052,34
"monmlp::monmlp.fit_Nelder-Mead",0.544,3.771,4.1087,0.3377,3.0462,15.0511,35
"neuralnet::neuralnet_backprop",0.104,3.8593,4.2101,0.3508,3.1568,14.389,36
"neuralnet::neuralnet_rprop-",0.01,3.4657,3.9379,0.4722,2.8577,15.5126,37
"neuralnet::neuralnet_rprop+",0.018,3.4475,3.9946,0.5471,2.806,16.5481,38
"neuralnet::neuralnet_sag",0.874,3.3829,3.7868,0.4039,2.6065,16.3454,39
"neuralnet::neuralnet_slr",0.026,3.8201,3.9883,0.1682,2.9187,15.3885,40
"nlsr::nlxb_none",0.116,3.1128,3.4349,0.3221,2.4566,14.5501,41
"nnet::nnet_none",0.012,3.0865,3.2253,0.1388,2.2336,13.9974,42
"qrnn::qrnn.fit_none",0.18,3.2636,3.454,0.1904,2.1362,15.284,43
"radiant.model::nn_none",0.05,3.1803,3.3593,0.179,2.459,13.9894,44
"rminer::fit_none",0.048,3.1128,3.1819,0.0691000000000002,2.187,13.5191,45
"RSNNS::mlp_BackpropBatch",2.068,3.5172,3.689,0.1718,2.741,14.2974,46
"RSNNS::mlp_BackpropChunk",0.212,3.5933,3.8022,0.2089,2.783,14.4056,47
