event,RMSE,MSE,MAE,WAE,time
mRef153_AMORE::train_ADAPTgd_01,3.6054,12.9988,2.5821,13.7798,0.05
mRef153_AMORE::train_ADAPTgd_02,3.3454,11.1916,2.3809,13.4872,0.01
mRef153_AMORE::train_ADAPTgd_03,3.3184,11.0118,2.3437,13.7131,0.05
mRef153_AMORE::train_ADAPTgd_04,3.3402,11.1571,2.3679,13.6107,0.03
mRef153_AMORE::train_ADAPTgd_05,3.3287,11.0805,2.354,13.7204,0.05
mRef153_AMORE::train_ADAPTgdwm_01,3.6521,13.3375,2.6685,14.0242,0.05
mRef153_AMORE::train_ADAPTgdwm_02,3.5541,12.6316,2.5492,13.5405,0.05
mRef153_AMORE::train_ADAPTgdwm_03,3.3209,11.0286,2.3546,14.1047,0.06
mRef153_AMORE::train_ADAPTgdwm_04,3.7318,13.9261,2.8583,14.2623,0.04
mRef153_AMORE::train_ADAPTgdwm_05,3.3334,11.1113,2.3786,14.2007,0.05
mRef153_AMORE::train_BATCHgd_01,3.5733,12.7686,2.6034,13.2065,1.42
mRef153_AMORE::train_BATCHgd_02,3.5412,12.5401,2.5557,13.0569,1.44
mRef153_AMORE::train_BATCHgd_03,3.361,11.2963,2.3941,13.614,1.48
mRef153_AMORE::train_BATCHgd_04,3.5435,12.5565,2.5829,13.3614,1.42
mRef153_AMORE::train_BATCHgd_05,3.4997,12.2478,2.5465,13.1887,1.42
mRef153_AMORE::train_BATCHgdwm_01,3.4478,11.8874,2.5231,13.4065,1.44
mRef153_AMORE::train_BATCHgdwm_02,3.4989,12.2421,2.4907,13.0089,1.44
mRef153_AMORE::train_BATCHgdwm_03,3.6055,12.9998,2.5837,13.627,1.45
mRef153_AMORE::train_BATCHgdwm_04,3.3094,10.9523,2.3517,13.8224,1.44
mRef153_AMORE::train_BATCHgdwm_05,3.4105,11.6313,2.4476,13.8033,1.42
mRef153_ANN2::neuralnetwork_sgd_01,4.2778,18.2994,3.0487,16.857,0.05
mRef153_ANN2::neuralnetwork_sgd_02,3.519,12.3836,2.5641,13.0075,0.04
mRef153_ANN2::neuralnetwork_sgd_03,3.6945,13.6493,2.7577,14.5248,0.05
mRef153_ANN2::neuralnetwork_sgd_04,3.6375,13.2318,2.5768,13.449,0.06
mRef153_ANN2::neuralnetwork_sgd_05,3.5768,12.7935,2.6189,13.0769,0.03
mRef153_ANN2::neuralnetwork_adam_01,3.4804,12.1134,2.5383,14.1111,0.03
mRef153_ANN2::neuralnetwork_adam_02,3.4861,12.1527,2.5495,13.4296,0.05
mRef153_ANN2::neuralnetwork_adam_03,3.5238,12.4172,2.6455,12.218,0.06
mRef153_ANN2::neuralnetwork_adam_04,3.6246,13.1378,2.6717,15.5898,0.04
mRef153_ANN2::neuralnetwork_adam_05,3.4586,11.9619,2.4652,13.6835,0.03
mRef153_ANN2::neuralnetwork_rmsprop_01,3.3434,11.1782,2.3512,15.1578,0.05
