pfa;time.score;RMSE.score;RMSEmed.score;RMSEd51.score;MAE.score;WAE.score
AMORE::train_ADAPTgd;10;34;24;8;26;19
AMORE::train_ADAPTgdwm;17;25;22;28;17;26
AMORE::train_BATCHgd;39;40;37;24;42;31
AMORE::train_BATCHgdwm;40;39;33;14;36;27
ANN2::neuralnetwork_adam;16;33;27;26;28;23
ANN2::neuralnetwork_rmsprop;14;28;26;33;27;22
ANN2::neuralnetwork_sgd;12;41;36;20;35;28
automl::automl_train_manual_trainwgrad_adam;50;18;20;35;16;19
automl::automl_train_manual_trainwgrad_RMSprop;47;26;31;50;29;38
automl::automl_train_manual_trainwpso;57;42;40;49;40;37
brnn::brnn_Gauss-Newton;8;13;11;9;12;11
CaDENCE::cadence.fit_optim;46;10;28;48;23;39
CaDENCE::cadence.fit_psoptim;54;54;56;56;54;56
CaDENCE::cadence.fit_Rprop;56;51;54;60;52;58
caret::avNNet_none;9;22;13;30;14;12
deepdive::deepnet_adam;32;45;41;1;37;44
deepdive::deepnet_gradientDescent;52;58;57;2;57;53
deepdive::deepnet_momentum;53;56;52;3;53;51
deepdive::deepnet_rmsProp;34;53;45;4;47;50
deepnet::nn.train_BP;23;18;18;38;24;17
elmNNRcpp::elm_train_extremeML;1;59;59;55;59;59
ELMR::OSelm_train.formula_extremeML;2;60;60;54;60;60
EnsembleBase::Regression.Batch.Fit_none;5;12;15;33;15;15
h2o::h2o.deeplearning_first-order;51;11;7;7;8;8
keras::fit_adadelta;60;47;48;27;51;41
keras::fit_adagrad;58;36;42;51;41;33
keras::fit_adam;42;35;28;44;30;25
keras::fit_adamax;48;23;16;19;20;16
keras::fit_nadam;44;36;38;58;39;40
keras::fit_rmsprop;37;52;54;57;55;54
keras::fit_sgd;48;43;44;47;43;43
MachineShop::fit_none;6;4;9;20;10;7
minpack.lm::nlsLM_none;13;24;18;5;19;14
monmlp::monmlp.fit_BFGS;26;9;10;17;9;10
monmlp::monmlp.fit_Nelder-Mead;32;46;46;46;43;47
neuralnet::neuralnet_backprop;37;48;50;11;48;45
neuralnet::neuralnet_rprop-;21;21;21;41;22;18
neuralnet::neuralnet_rprop+;18;20;23;40;21;24
neuralnet::neuralnet_sag;41;38;50;59;46;52
neuralnet::neuralnet_slr;31;30;38;37;38;46
nlsr::nlxb_none;18;1;3;16;3;6
nnet::nnet_none;3;3;2;17;2;3
qrnn::qrnn.fit_none;28;15;14;22;7;35
radiant.model::nn_none;11;7;8;32;11;9
rminer::fit_none;14;2;1;6;1;1
RSNNS::mlp_BackpropBatch;43;49;47;25;50;49
RSNNS::mlp_BackpropChunk;26;29;34;41;32;34
RSNNS::mlp_BackpropMomentum;25;30;35;38;34;30
RSNNS::mlp_BackpropWeightDecay;29;32;30;43;33;32
RSNNS::mlp_Quickprop;45;57;58;36;58;57
RSNNS::mlp_Rprop;24;16;24;51;25;29
RSNNS::mlp_SCG;30;17;16;22;18;19
RSNNS::mlp_Std_Backpropagation;22;27;32;30;31;36
snnR::snnR_none;7;49;48;13;49;47
traineR::train.nnet_none;4;6;5;15;6;2
validann::ann_BFGS;35;4;4;11;4;5
validann::ann_CG;59;8;6;10;5;4
validann::ann_L-BFGS-B;36;14;12;29;13;12
validann::ann_Nelder-Mead;55;44;43;45;45;41
validann::ann_SANN;20;55;53;53;56;55
