mDette.pfa,mDette.time.mean,mDette.RMSE.min,mDette.RMSE.med,mDette.RMSE.d51,mDette.MAE.med,mDette.WAE.med,mDette.npfa,mDette.time.rank,mDette.RMSE.rank,mDette.RMSEmed.rank,mDette.RMSEd51.rank,mDette.MAE.rank,mDette.WAE.rank,mFriedman.pfa,mFriedman.time.mean,mFriedman.RMSE.min,mFriedman.RMSE.med,mFriedman.RMSE.d51,mFriedman.MAE.med,mFriedman.WAE.med,mFriedman.npfa,mFriedman.time.rank,mFriedman.RMSE.rank,mFriedman.RMSEmed.rank,mFriedman.RMSEd51.rank,mFriedman.MAE.rank,mFriedman.WAE.rank,mIshigami.pfa,mIshigami.time.mean,mIshigami.RMSE.min,mIshigami.RMSE.med,mIshigami.RMSE.d51,mIshigami.MAE.med,mIshigami.WAE.med,mIshigami.npfa,mIshigami.time.rank,mIshigami.RMSE.rank,mIshigami.RMSEmed.rank,mIshigami.RMSEd51.rank,mIshigami.MAE.rank,mIshigami.WAE.rank,mRef153.pfa,mRef153.time.mean,mRef153.RMSE.min,mRef153.RMSE.med,mRef153.RMSE.d51,mRef153.MAE.med,mRef153.WAE.med,mRef153.npfa,mRef153.time.rank,mRef153.RMSE.rank,mRef153.RMSEmed.rank,mRef153.RMSEd51.rank,mRef153.MAE.rank,mRef153.WAE.rank,uDmod2.pfa,uDmod2.time.mean,uDmod2.RMSE.min,uDmod2.RMSE.med,uDmod2.RMSE.d51,uDmod2.MAE.med,uDmod2.WAE.med,uDmod2.npfa,uDmod2.time.rank,uDmod2.RMSE.rank,uDmod2.RMSEmed.rank,uDmod2.RMSEd51.rank,uDmod2.MAE.rank,uDmod2.WAE.rank,uDreyfus1.pfa,uDreyfus1.time.mean,uDreyfus1.RMSE.min,uDreyfus1.RMSE.med,uDreyfus1.RMSE.d51,uDreyfus1.MAE.med,uDreyfus1.WAE.med,uDreyfus1.npfa,uDreyfus1.time.rank,uDreyfus1.RMSE.rank,uDreyfus1.RMSEmed.rank,uDreyfus1.RMSEd51.rank,uDreyfus1.MAE.rank,uDreyfus1.WAE.rank,uGauss2.pfa,uGauss2.time.mean,uGauss2.RMSE.min,uGauss2.RMSE.med,uGauss2.RMSE.d51,uGauss2.MAE.med,uGauss2.WAE.med,uGauss2.npfa,uGauss2.time.rank,uGauss2.RMSE.rank,uGauss2.RMSEmed.rank,uGauss2.RMSEd51.rank,uGauss2.MAE.rank,uGauss2.WAE.rank,uNeuroOne.pfa,uNeuroOne.time.mean,uNeuroOne.RMSE.min,uNeuroOne.RMSE.med,uNeuroOne.RMSE.d51,uNeuroOne.MAE.med,uNeuroOne.WAE.med,uNeuroOne.npfa,uNeuroOne.time.rank,uNeuroOne.RMSE.rank,uNeuroOne.RMSEmed.rank,uNeuroOne.RMSEd51.rank,uNeuroOne.MAE.rank,uNeuroOne.WAE.rank
AMORE::train_ADAPTgd,0.128,0.4391,0.4564,0.0173,0.3246,2.0005,1,8,15,9,10,7,9,AMORE::train_ADAPTgd,0.128,0.0264,0.0296,0.0032,0.0235,0.1101,1,9,26,22,23,22,21,AMORE::train_ADAPTgd,0.222,0.769,0.8135,0.0445,0.6083,2.9968,1,9,19,14,19,14,6,AMORE::train_ADAPTgd,0.038,3.3184,3.3402,0.0217999999999998,2.3679,13.7131,1,12,20,7,9,8,12,AMORE::train_ADAPTgd,0.022,0.2579,0.2632,0.00529999999999997,0.2333,0.5307,1,13,53,48,14,49,48,AMORE::train_ADAPTgd,0.02,0.3308,0.3475,0.0167,0.2718,0.7716,1,19,50,49,27,47,45,AMORE::train_ADAPTgd,0.054,7.4794,8.1969,0.717499999999999,6.0059,23.913,1,10,43,35,24,36,35,AMORE::train_ADAPTgd,0.02,0.2958,0.2965,0.000699999999999978,0.2451,0.6433,1,19,40,33,27,31,33
AMORE::train_ADAPTgdwm,0.184,0.3972,0.4012,0.004,0.3084,1.7312,2,11,13,4,8,4,3,AMORE::train_ADAPTgdwm,0.178,0.0439,0.045,0.0011,0.0321,0.1788,2,10,37,26,13,26,29,AMORE::train_ADAPTgdwm,0.33,0.8636,0.995,0.1314,0.728,3.8394,2,11,27,22,37,21,21,AMORE::train_ADAPTgdwm,0.05,3.3209,3.5541,0.2332,2.5492,14.1047,2,17,21,22,32,19,19,AMORE::train_ADAPTgdwm,0.034,0.1145,0.1924,0.0779,0.1573,0.4195,2,17,34,37,53,37,34,AMORE::train_ADAPTgdwm,0.03,0.1804,0.2112,0.0308,0.1476,0.4856,2,21,36,33,37,31,33,AMORE::train_ADAPTgdwm,0.068,4.3864,10.4646,6.0782,6.6054,38.572,2,13,35,49,60,44,52,AMORE::train_ADAPTgdwm,0.028,0.2854,0.2854,0,0.2285,0.6436,2,20,22,15,1,2,35
AMORE::train_BATCHgd,1.87,1.8688,1.8999,0.0310999999999999,1.5158,8.6487,3,36,40,31,12,36,31,AMORE::train_BATCHgd,1.876,0.0177,0.0816,0.0639,0.0748,0.1692,3,32,17,35,57,39,28,AMORE::train_BATCHgd,2.624,2.5215,2.5544,0.0328999999999997,2.1768,6.3018,3,34,41,36,15,41,30,AMORE::train_BATCHgd,1.436,3.361,3.5412,0.1802,2.5557,13.2065,3,42,22,21,27,22,3,AMORE::train_BATCHgd,1.65,0.2228,0.2644,0.0416,0.2347,0.4989,3,43,47,49,42,51,40,AMORE::train_BATCHgd,1.382,0.316,0.3346,0.0186,0.274,0.7087,3,46,48,39,29,49,36,AMORE::train_BATCHgd,1.552,9.1582,9.7638,0.605599999999999,7.1783,28.5231,3,38,48,47,20,48,44,AMORE::train_BATCHgd,1.232,0.2931,0.2935,0.000399999999999956,0.2421,0.6309,3,45,37,28,24,26,31
AMORE::train_BATCHgdwm,1.862,1.8586,1.9806,0.122,1.499,11.2445,4,35,39,33,23,35,36,AMORE::train_BATCHgdwm,1.882,0.0173,0.0176,0.000300000000000002,0.0138,0.0586,4,33,16,10,7,10,11,AMORE::train_BATCHgdwm,2.678,2.4805,2.5259,0.0453999999999999,2.1518,6.4536,4,35,40,34,20,39,31,AMORE::train_BATCHgdwm,1.438,3.3094,3.4478,0.1384,2.4907,13.627,4,43,19,15,20,17,10,AMORE::train_BATCHgdwm,1.65,0.1585,0.2621,0.1036,0.2341,0.4898,4,44,38,47,56,50,38,AMORE::train_BATCHgdwm,1.376,0.3346,0.337,0.00240000000000001,0.2785,0.7142,4,45,51,40,14,52,37,AMORE::train_BATCHgdwm,1.578,9.219,9.4697,0.2507,6.9325,27.9676,4,39,49,45,13,47,42,AMORE::train_BATCHgdwm,1.24,0.2924,0.2933,0.000900000000000012,0.2419,0.6303,4,46,36,26,30,25,30
ANN2::neuralnetwork_adam,0.218,1.798,2.0396,0.2416,1.5178,11.5812,5,15,38,37,35,37,37,ANN2::neuralnetwork_adam,0.234,0.0183,0.0201,0.0018,0.0166,0.0579,5,14,19,14,19,14,9,ANN2::neuralnetwork_adam,1.058,0.756,0.8062,0.0502,0.613,3.5492,5,27,17,13,24,16,16,ANN2::neuralnetwork_adam,0.042,3.4586,3.4861,0.0274999999999999,2.5495,13.6835,5,13,28,19,10,20,11,ANN2::neuralnetwork_adam,0.014,0.1702,0.2126,0.0424,0.1747,0.463,5,8,41,39,43,42,37,ANN2::neuralnetwork_adam,0.006,0.2762,0.3201,0.0439,0.2542,0.7372,5,9,43,37,39,37,41,ANN2::neuralnetwork_adam,0.086,3.731,4.0836,0.3526,3.233,12.0798,5,17,28,17,14,17,14,ANN2::neuralnetwork_adam,0.008,0.3082,0.3485,0.0403,0.2776,0.7493,5,9,46,46,53,45,44
ANN2::neuralnetwork_rmsprop,0.206,1.9463,2.0761,0.1298,1.524,12.6858,6,13,41,39,26,38,40,ANN2::neuralnetwork_rmsprop,0.226,0.025,0.0314,0.0064,0.0251,0.0945,6,13,24,23,29,24,18,ANN2::neuralnetwork_rmsprop,1.048,0.7045,0.859,0.1545,0.6409,2.994,6,25,15,17,39,19,5,ANN2::neuralnetwork_rmsprop,0.05,3.2991,3.3581,0.0589999999999997,2.4231,13.0278,6,18,18,8,13,11,2,ANN2::neuralnetwork_rmsprop,0.012,0.1831,0.2585,0.0754,0.2227,0.5514,6,5,44,45,52,46,53,ANN2::neuralnetwork_rmsprop,0.006,0.2467,0.3428,0.0961,0.2715,0.7616,6,10,41,43,51,46,43,ANN2::neuralnetwork_rmsprop,0.1,3.5637,4.2355,0.6718,3.2536,15.9291,6,19,22,19,23,18,25,ANN2::neuralnetwork_rmsprop,0.008,0.2904,0.2912,0.000800000000000023,0.2376,0.6015,6,10,32,23,29,20,24
ANN2::neuralnetwork_sgd,0.204,1.2208,2.0228,0.802,1.4953,8.6218,7,12,36,36,48,34,30,ANN2::neuralnetwork_sgd,0.222,0.0178,0.0185,0.000699999999999999,0.0147,0.0603,7,12,18,12,10,12,12,ANN2::neuralnetwork_sgd,1.048,0.7787,0.9097,0.131,0.6798,3.8085,7,26,21,20,36,20,20,ANN2::neuralnetwork_sgd,0.046,3.519,3.6375,0.1185,2.6189,13.449,7,15,34,26,19,25,7,ANN2::neuralnetwork_sgd,0.012,0.2518,0.2732,0.0214,0.2401,0.5272,7,6,51,53,31,56,46,ANN2::neuralnetwork_sgd,0.008,0.3493,0.3546,0.00530000000000003,0.2689,0.8481,7,12,56,53,18,42,52,ANN2::neuralnetwork_sgd,0.078,7.4578,8.3914,0.933600000000001,6.347,25.3806,7,14,42,36,30,41,41,ANN2::neuralnetwork_sgd,0.01,0.3069,0.3088,0.00190000000000001,0.2535,0.6226,7,13,45,34,31,36,29
automl::automl_train_manual_trainwgrad_adam,9.584,0.4255,0.616,0.1905,0.471,3.2585,8,52,14,17,30,17,21,automl::automl_train_manual_trainwgrad_adam,9.568,0.0277,0.0323,0.0046,0.025,0.1346,8,51,27,24,26,23,25,automl::automl_train_manual_trainwgrad_adam,9.932,0.7511,0.7995,0.0484,0.612,2.9212,8,49,16,12,22,15,3,automl::automl_train_manual_trainwgrad_adam,2.76,3.4616,3.7944,0.3328,2.7431,15.5607,8,48,29,32,42,31,47,automl::automl_train_manual_trainwgrad_adam,1.26,0.0511,0.0867,0.0356,0.0707,0.1976,8,42,11,20,40,21,14,automl::automl_train_manual_trainwgrad_adam,0.906,0.0087,0.0725,0.0638,0.0481,0.207,8,41,12,19,47,17,16,automl::automl_train_manual_trainwgrad_adam,4.952,8.1454,8.642,0.496599999999999,6.1349,30.0687,8,49,45,40,16,38,45,automl::automl_train_manual_trainwgrad_adam,1.214,0.2844,0.2895,0.00509999999999999,0.2378,0.6469,8,44,19,21,41,22,37
automl::automl_train_manual_trainwgrad_RMSprop,8.632,0.4821,0.6996,0.2175,0.5006,3.8172,9,50,21,20,32,19,22,automl::automl_train_manual_trainwgrad_RMSprop,8.55,0.0397,0.0504,0.0107,0.0399,0.2019,9,49,33,28,35,28,33,automl::automl_train_manual_trainwgrad_RMSprop,8.882,1.8225,2.5662,0.7437,2.1749,6.052,9,45,37,37,51,40,29,automl::automl_train_manual_trainwgrad_RMSprop,2.792,3.5937,3.9015,0.3078,2.7453,14.5783,9,49,37,37,38,32,33,automl::automl_train_manual_trainwgrad_RMSprop,1.104,0.1245,0.2296,0.1051,0.1669,0.5276,9,41,36,42,57,39,47,automl::automl_train_manual_trainwgrad_RMSprop,1.114,0.0479,0.0727,0.0248,0.0498,0.2335,9,44,20,20,34,19,22,automl::automl_train_manual_trainwgrad_RMSprop,4.436,3.9723,8.4113,4.439,5.6794,30.3739,9,48,31,37,56,34,48,automl::automl_train_manual_trainwgrad_RMSprop,1.09,0.2842,0.2888,0.00459999999999999,0.2403,0.6528,9,42,18,20,40,23,38
automl::automl_train_manual_trainwpso,13.696,2.7275,4.9634,2.2359,3.7904,24.2831,10,56,48,53,57,54,53,automl::automl_train_manual_trainwpso,14.836,0.1029,0.1228,0.0199,0.0976,0.3922,10,56,50,48,45,49,48,automl::automl_train_manual_trainwpso,25.376,1.8381,2.4317,0.5936,1.9867,7.8872,10,56,38,33,48,33,41,automl::automl_train_manual_trainwpso,6.73,3.7011,3.9237,0.2226,2.8771,13.9777,10,55,38,39,31,38,16,automl::automl_train_manual_trainwpso,10.432,0.2032,0.2573,0.0541,0.2232,0.524,10,56,45,44,48,47,44,automl::automl_train_manual_trainwpso,5.358,0.1052,0.1154,0.0102,0.0854,0.3281,10,55,31,26,25,27,26,automl::automl_train_manual_trainwpso,8.702,6.1384,8.6501,2.5117,6.2805,24.333,10,55,39,41,43,40,36,automl::automl_train_manual_trainwpso,4.896,0.2847,0.2878,0.00309999999999999,0.235,0.5413,10,54,20,18,36,18,1
brnn::brnn_Gauss-Newton,0.216,0.4578,1.9537,1.4959,1.4572,11.8945,11,14,18,32,54,33,38,brnn::brnn_Gauss-Newton,0.238,0.0046,0.0052,0.0006,0.0043,0.0154,11,15,2,1,9,1,1,brnn::brnn_Gauss-Newton,0.204,0.6588,0.6635,0.00469999999999993,0.51,2.9395,11,8,8,1,8,4,4,brnn::brnn_Gauss-Newton,0.02,3.4791,3.4796,0.000500000000000167,2.5068,13.7382,11,9,31,18,8,18,13,brnn::brnn_Gauss-Newton,0.02,0.0435,0.0673,0.0238,0.0522,0.1838,11,11,6,13,34,12,13,brnn::brnn_Gauss-Newton,0,0.0026,0.0034,0.0008,0.0029,0.0115,11,1,7,7,11,7,7,brnn::brnn_Gauss-Newton,0.048,2.3781,3.5508,1.1727,2.9377,10.2283,11,8,6,11,34,14,9,brnn::brnn_Gauss-Newton,0.008,0.3523,0.3523,0,0.2848,0.8271,11,11,51,47,2,47,49
