event,RMSE,MSE,MAE,WAE,time
uDmod1_AMORE::train_ADAPTgd_01,0.3166,0.1002,0.2727,0.7091,0.03
uDmod1_AMORE::train_ADAPTgd_02,0.3297,0.1087,0.2858,0.7209,0.03
uDmod1_AMORE::train_ADAPTgd_03,0.3346,0.1119,0.2891,0.7553,0.03
uDmod1_AMORE::train_ADAPTgd_04,0.3267,0.1067,0.2839,0.704,0.03
uDmod1_AMORE::train_ADAPTgd_05,0.2028,0.0411,0.1602,0.4981,0.03
uDmod1_AMORE::train_ADAPTgd_06,0.3316,0.11,0.2868,0.7402,0.03
uDmod1_AMORE::train_ADAPTgd_07,0.3214,0.1033,0.2777,0.7135,0.03
uDmod1_AMORE::train_ADAPTgd_08,0.3191,0.1019,0.277,0.6879,0.03
uDmod1_AMORE::train_ADAPTgd_09,0.334,0.1115,0.2887,0.7491,0.04
uDmod1_AMORE::train_ADAPTgd_10,0.316,0.0998,0.2721,0.7107,0.03
uDmod1_AMORE::train_ADAPTgdwm_01,0.1813,0.0329,0.1486,0.3999,0.05
uDmod1_AMORE::train_ADAPTgdwm_02,0.3343,0.1117,0.267,0.7708,0.05
uDmod1_AMORE::train_ADAPTgdwm_03,0.3398,0.1154,0.2759,0.7812,0.05
uDmod1_AMORE::train_ADAPTgdwm_04,0.2214,0.049,0.1639,0.6078,0.05
uDmod1_AMORE::train_ADAPTgdwm_05,0.2149,0.0462,0.1603,0.6065,0.04
uDmod1_AMORE::train_ADAPTgdwm_06,0.2367,0.056,0.1764,0.6158,0.04
uDmod1_AMORE::train_ADAPTgdwm_07,0.2406,0.0579,0.179,0.6358,0.05
uDmod1_AMORE::train_ADAPTgdwm_08,0.3569,0.1273,0.2918,0.8078,0.05
uDmod1_AMORE::train_ADAPTgdwm_09,0.2345,0.055,0.1733,0.6295,0.03
uDmod1_AMORE::train_ADAPTgdwm_10,0.2364,0.0559,0.1786,0.5975,0.03
uDmod1_AMORE::train_BATCHgd_01,0.331,0.1096,0.2888,0.7499,1.76
uDmod1_AMORE::train_BATCHgd_02,0.3303,0.1091,0.2882,0.738,1.78
uDmod1_AMORE::train_BATCHgd_03,0.312,0.0973,0.2669,0.6763,1.78
uDmod1_AMORE::train_BATCHgd_04,0.312,0.0973,0.2667,0.6781,1.77
uDmod1_AMORE::train_BATCHgd_05,0.3308,0.1094,0.2885,0.7478,1.81
uDmod1_AMORE::train_BATCHgd_06,0.286,0.0818,0.2322,0.6641,1.78
uDmod1_AMORE::train_BATCHgd_07,0.2777,0.0771,0.217,0.6637,1.78
uDmod1_AMORE::train_BATCHgd_08,0.3309,0.1095,0.2887,0.7449,1.78
uDmod1_AMORE::train_BATCHgd_09,0.3302,0.109,0.2881,0.7383,1.78
uDmod1_AMORE::train_BATCHgd_10,0.3273,0.1071,0.2851,0.7261,1.78
uDmod1_AMORE::train_BATCHgdwm_01,0.3086,0.0952,0.2628,0.6734,1.82
uDmod1_AMORE::train_BATCHgdwm_02,0.2029,0.0412,0.1596,0.4648,1.77
uDmod1_AMORE::train_BATCHgdwm_03,0.2645,0.07,0.1997,0.6322,1.78
uDmod1_AMORE::train_BATCHgdwm_04,0.3298,0.1088,0.2877,0.7411,1.76
uDmod1_AMORE::train_BATCHgdwm_05,0.3293,0.1085,0.2872,0.7291,1.78
uDmod1_AMORE::train_BATCHgdwm_06,0.2898,0.084,0.239,0.6567,1.77
uDmod1_AMORE::train_BATCHgdwm_07,0.3294,0.1085,0.2873,0.7379,1.81
uDmod1_AMORE::train_BATCHgdwm_08,0.1883,0.0354,0.1521,0.4173,1.78
uDmod1_AMORE::train_BATCHgdwm_09,0.3309,0.1095,0.2887,0.7469,1.78
uDmod1_AMORE::train_BATCHgdwm_10,0.3307,0.1094,0.2886,0.7453,1.79
uDmod1_ANN2::neuralnetwork_sgd_01,0.2832,0.0802,0.237,0.6265,0.01
uDmod1_ANN2::neuralnetwork_sgd_02,0.3075,0.0946,0.257,0.6745,0.02
uDmod1_ANN2::neuralnetwork_sgd_03,0.3377,0.114,0.2898,0.7571,0.01
uDmod1_ANN2::neuralnetwork_sgd_04,0.3363,0.1131,0.2918,0.7058,0.01
uDmod1_ANN2::neuralnetwork_sgd_05,0.3389,0.1149,0.29,0.7714,0.01
uDmod1_ANN2::neuralnetwork_sgd_06,0.3391,0.115,0.2897,0.7941,0
uDmod1_ANN2::neuralnetwork_sgd_07,0.3322,0.1104,0.2873,0.7169,0.01
uDmod1_ANN2::neuralnetwork_sgd_08,0.3359,0.1128,0.2919,0.7101,0.02
uDmod1_ANN2::neuralnetwork_sgd_09,0.3146,0.099,0.266,0.7434,0
uDmod1_ANN2::neuralnetwork_sgd_10,0.2893,0.0837,0.2441,0.6137,0.01
uDmod1_ANN2::neuralnetwork_adam_01,0.2463,0.0607,0.1974,0.57,0.02
uDmod1_ANN2::neuralnetwork_adam_02,0.3377,0.114,0.2912,0.7689,0.02
uDmod1_ANN2::neuralnetwork_adam_03,0.3392,0.1151,0.2933,0.7516,0.02
uDmod1_ANN2::neuralnetwork_adam_04,0.2323,0.054,0.1782,0.5159,0.02
uDmod1_ANN2::neuralnetwork_adam_05,0.3455,0.1194,0.2985,0.7426,0.01
uDmod1_ANN2::neuralnetwork_adam_06,0.3299,0.1088,0.2831,0.6818,0.02
uDmod1_ANN2::neuralnetwork_adam_07,0.3435,0.118,0.2974,0.6924,0
uDmod1_ANN2::neuralnetwork_adam_08,0.2203,0.0485,0.1741,0.5303,0.02
uDmod1_ANN2::neuralnetwork_adam_09,0.3509,0.1231,0.2961,0.8694,0.03
uDmod1_ANN2::neuralnetwork_adam_10,0.2487,0.0618,0.1957,0.5796,0
uDmod1_ANN2::neuralnetwork_rmsprop_01,0.243,0.059,0.188,0.5944,0
uDmod1_ANN2::neuralnetwork_rmsprop_02,0.2567,0.0659,0.2034,0.6051,0.01
uDmod1_ANN2::neuralnetwork_rmsprop_03,0.2425,0.0588,0.191,0.5625,0
uDmod1_ANN2::neuralnetwork_rmsprop_04,0.234,0.0547,0.1766,0.6011,0.01
uDmod1_ANN2::neuralnetwork_rmsprop_05,0.2467,0.0608,0.1954,0.5984,0.01
uDmod1_ANN2::neuralnetwork_rmsprop_06,0.3447,0.1188,0.2945,0.8239,0
uDmod1_ANN2::neuralnetwork_rmsprop_07,0.2901,0.0842,0.2416,0.7089,0.01
uDmod1_ANN2::neuralnetwork_rmsprop_08,0.2253,0.0508,0.1808,0.5399,0.04
uDmod1_ANN2::neuralnetwork_rmsprop_09,0.3648,0.1331,0.3142,0.7421,0.01
uDmod1_ANN2::neuralnetwork_rmsprop_10,0.2822,0.0796,0.2252,0.7005,0.02
uDmod1_automl::automl_train_manual_trainwgrad_RMSprop_01,0.1868,0.0349,0.1453,0.4662,1.1
