"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.022,0.2579,0.2632,0.00529999999999997,0.2333,0.5307,1
"AMORE::train_ADAPTgdwm",0.034,0.1145,0.1924,0.0779,0.1573,0.4195,2
"AMORE::train_BATCHgd",1.65,0.2228,0.2644,0.0416,0.2347,0.4989,3
"AMORE::train_BATCHgdwm",1.65,0.1585,0.2621,0.1036,0.2341,0.4898,4
"ANN2::neuralnetwork_adam",0.014,0.1702,0.2126,0.0424,0.1747,0.463,5
"ANN2::neuralnetwork_rmsprop",0.012,0.1831,0.2585,0.0754,0.2227,0.5514,6
"ANN2::neuralnetwork_sgd",0.012,0.2518,0.2732,0.0214,0.2401,0.5272,7
"automl::automl_train_manual_trainwgrad_adam",1.26,0.0511,0.0867,0.0356,0.0707,0.1976,8
"automl::automl_train_manual_trainwgrad_RMSprop",1.104,0.1245,0.2296,0.1051,0.1669,0.5276,9
"automl::automl_train_manual_trainwpso",10.432,0.2032,0.2573,0.0541,0.2232,0.524,10
"brnn::brnn_Gauss-Newton",0.02,0.0435,0.0673,0.0238,0.0522,0.1838,11
"CaDENCE::cadence.fit_optim",2.31,0.0688,0.0805,0.0117,0.0582,0.2385,12
"CaDENCE::cadence.fit_psoptim",5.052,0.2114,0.3238,0.1124,0.2711,0.6808,13
"CaDENCE::cadence.fit_Rprop",5.784,0.182,0.2615,0.0795,0.2061,0.6887,14
"caret::avNNet_none",0.024,0.0512,0.0558,0.0046,0.0454,0.1561,15
"deepdive::deepnet_adam",0.572,0.3189,0.3189,0,0.2113,0.7209,16
"deepdive::deepnet_gradientDescent",5.326,0.2699,0.2699,0,0.2369,0.5509,17
"deepdive::deepnet_momentum",5.46,0.2656,0.2656,0,0.2355,0.5269,18
"deepdive::deepnet_rmsProp",0.558,0.2252,0.2252,0,0.158,0.5513,19
"deepnet::nn.train_BP",0.092,0.0563,0.0608,0.0045,0.049,0.1446,20
"elmNNRcpp::elm_train_extremeML",0,0.2589,0.2648,0.00589999999999996,0.2308,0.5419,21
"ELMR::OSelm_train.formula_extremeML",0,0.2613,0.2735,0.0122,0.2358,0.5366,22
"EnsembleBase::Regression.Batch.Fit_none",0.006,0.0618,0.0638,0.00199999999999999,0.0504,0.1716,23
"h2o::h2o.deeplearning_first-order",3.342,0.0474,0.0482,0.000800000000000002,0.0394,0.1126,24
"keras::fit_adadelta",26.68,0.1746,0.1792,0.00459999999999999,0.1379,0.4116,25
"keras::fit_adagrad",13.616,0.1597,0.1792,0.0195,0.1379,0.4143,26
"keras::fit_adam",2.338,0.0963,0.1767,0.0804,0.1397,0.4913,27
"keras::fit_adamax",3.696,0.1082,0.1728,0.0646,0.1393,0.3885,28
"keras::fit_nadam",2.46,0.1201,0.1884,0.0683,0.1486,0.5214,29
"keras::fit_rmsprop",1.744,0.1629,0.2166,0.0537,0.1697,0.5175,30
"keras::fit_sgd",1.868,0.2431,0.3056,0.0625,0.2606,0.6923,31
"MachineShop::fit_none",0.012,0.0406,0.0494,0.0088,0.0374,0.1288,32
"minpack.lm::nlsLM_none",0.024,0.0427,0.0427,0,0.0333,0.1058,33
"monmlp::monmlp.fit_BFGS",0.21,0.0522,0.0796,0.0274,0.0625,0.228,34
"monmlp::monmlp.fit_Nelder-Mead",0.37,0.1342,0.178,0.0438,0.1371,0.4534,35
"neuralnet::neuralnet_backprop",0.372,0.1091,0.1355,0.0264,0.1084,0.3411,36
"neuralnet::neuralnet_rprop-",0.062,0.0955,0.1186,0.0231,0.092,0.2812,37
"neuralnet::neuralnet_rprop+",0.036,0.1077,0.1207,0.013,0.0926,0.2648,38
"neuralnet::neuralnet_sag",0.95,0.0811,0.116,0.0349,0.0943,0.296,39
"neuralnet::neuralnet_slr",0.092,0.084,0.1039,0.0199,0.0866,0.2554,40
"nlsr::nlxb_none",0.036,0.0427,0.0427,0,0.0333,0.1058,41
"nnet::nnet_none",0.008,0.0602,0.0615,0.0013,0.0489,0.1408,42
"qrnn::qrnn.fit_none",0.214,0.0511,0.0821,0.031,0.0598,0.2411,43
"radiant.model::nn_none",0.022,0.0647,0.0771,0.0124,0.0602,0.2202,44
"rminer::fit_none",0.016,0.0405,0.0579,0.0174,0.0479,0.1065,45
"RSNNS::mlp_BackpropBatch",0.87,0.2601,0.2736,0.0135,0.2371,0.6099,46
"RSNNS::mlp_BackpropChunk",0.09,0.0829,0.0892,0.0063,0.0732,0.2035,47
"RSNNS::mlp_BackpropMomentum",0.092,0.0752,0.0964,0.0212,0.0786,0.2134,48
"RSNNS::mlp_BackpropWeightDecay",0.094,0.0799,0.0888,0.00890000000000001,0.0704,0.2063,49
"RSNNS::mlp_Quickprop",0.906,0.257,0.4804,0.2234,0.4177,1.0187,50
"RSNNS::mlp_Rprop",0.09,0.0447,0.0959,0.0512,0.0717,0.2622,51
"RSNNS::mlp_SCG",0.132,0.0555,0.0788,0.0233,0.0618,0.207,52
"RSNNS::mlp_Std_Backpropagation",0.086,0.0788,0.1292,0.0504,0.0999,0.3342,53
"snnR::snnR_none",0.02,0.2585,0.2984,0.0399,0.2556,0.6651,54
"traineR::train.nnet_none",0.016,0.0505,0.0649,0.0144,0.0529,0.1392,55
"validann::ann_BFGS",0.676,0.0405,0.0437,0.0032,0.0342,0.1131,56
"validann::ann_CG",31.616,0.0536,0.061,0.0074,0.0476,0.1415,57
"validann::ann_L-BFGS-B",0.784,0.0691,0.0778,0.0087,0.0617,0.2019,58
"validann::ann_Nelder-Mead",30.686,0.0633,0.1987,0.1354,0.1673,0.4305,59
"validann::ann_SANN",0.148,0.2274,0.2546,0.0272,0.199,0.5099,60
