"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.02,0.3555,0.3612,0.00570000000000004,0.2824,0.901,1
"AMORE::train_ADAPTgdwm",0.03,0.1675,0.2519,0.0844,0.1964,0.6689,2
"AMORE::train_BATCHgd",1.378,0.1778,0.2708,0.093,0.2148,0.6304,3
"AMORE::train_BATCHgdwm",1.38,0.2097,0.3405,0.1308,0.2704,0.864,4
"ANN2::neuralnetwork_adam",0.01,0.3222,0.3836,0.0614,0.2918,0.8958,5
"ANN2::neuralnetwork_rmsprop",0.014,0.2338,0.2845,0.0507,0.2093,0.8061,6
"ANN2::neuralnetwork_sgd",0.008,0.3581,0.3717,0.0136,0.2806,0.9555,7
"automl::automl_train_manual_trainwgrad_adam",1.244,0.0933,0.1579,0.0646,0.1212,0.4579,8
"automl::automl_train_manual_trainwgrad_RMSprop",1.096,0.1179,0.1615,0.0436,0.1223,0.455,9
"automl::automl_train_manual_trainwpso",5.164,0.118,0.1616,0.0436,0.1233,0.4403,10
"brnn::brnn_Gauss-Newton",0,0.0913,0.0913,0,0.073,0.2241,11
"CaDENCE::cadence.fit_optim",1.046,0.0924,0.3856,0.2932,0.256,1.1222,12
"CaDENCE::cadence.fit_psoptim",4.5,0.321,0.3814,0.0604,0.2825,1.0638,13
"CaDENCE::cadence.fit_Rprop",4.272,0.1684,0.2586,0.0902,0.1963,0.7853,14
"caret::avNNet_none",0.022,0.0926,0.1039,0.0113,0.0811,0.2375,15
"deepdive::deepnet_adam",0.566,0.1149,0.1149,0,0.0907,0.2749,16
"deepdive::deepnet_gradientDescent",5.222,0.357,0.357,0,0.2905,0.8478,17
"deepdive::deepnet_momentum",5.39,0.357,0.357,0,0.2907,0.8468,18
"deepdive::deepnet_rmsProp",0.552,0.1625,0.1625,0,0.1232,0.4839,19
"deepnet::nn.train_BP",0.08,0.0928,0.1049,0.0121,0.0824,0.2577,20
"elmNNRcpp::elm_train_extremeML",0,0.4534,0.6226,0.1692,0.5077,1.4031,21
"ELMR::OSelm_train.formula_extremeML",0.002,0.4554,0.5844,0.129,0.4293,1.3727,22
"EnsembleBase::Regression.Batch.Fit_none",0.008,0.1196,0.1272,0.00760000000000001,0.1022,0.3102,23
"h2o::h2o.deeplearning_first-order",3.356,0.0926,0.0933,0.000699999999999992,0.074,0.2242,24
"keras::fit_adadelta",7.248,0.3605,0.3726,0.0121,0.2763,0.9935,25
"keras::fit_adagrad",14.992,0.1847,0.1979,0.0132,0.142,0.6153,26
"keras::fit_adam",2.354,0.1105,0.1345,0.024,0.1062,0.3156,27
"keras::fit_adamax",4.74,0.1118,0.1154,0.00360000000000001,0.0935,0.3048,28
"keras::fit_nadam",2.366,0.1341,0.1957,0.0616,0.153,0.5132,29
"keras::fit_rmsprop",1.096,0.2221,0.3598,0.1377,0.2805,0.8788,30
"keras::fit_sgd",2.546,0.3523,0.3548,0.0025,0.276,0.9224,31
"MachineShop::fit_none",0.012,0.0906,0.1415,0.0509,0.1045,0.4507,32
