event,RMSE,MSE,MAE,WAE,time
uDreyfus2_caret::avNNet_none_01,0.0997,0.0099,0.0788,0.2645,0.01
uDreyfus2_caret::avNNet_none_02,0.1192,0.0142,0.0908,0.2848,0.02
uDreyfus2_caret::avNNet_none_03,0.097,0.0094,0.0775,0.2149,0.02
uDreyfus2_caret::avNNet_none_04,0.1025,0.0105,0.0842,0.2121,0.02
uDreyfus2_caret::avNNet_none_05,0.0946,0.0089,0.0747,0.2293,0.02
uDreyfus2_caret::avNNet_none_06,0.1168,0.0136,0.0907,0.2654,0.02
uDreyfus2_caret::avNNet_none_07,0.1024,0.0105,0.0824,0.2316,0.02
uDreyfus2_caret::avNNet_none_08,0.15,0.0225,0.1097,0.5284,0.02
uDreyfus2_caret::avNNet_none_09,0.103,0.0106,0.0812,0.2488,0
uDreyfus2_caret::avNNet_none_10,0.106,0.0112,0.0856,0.2241,0.01
uDreyfus2_CaDENCE::cadence.fit_optim_01,0.091,0.0083,0.073,0.2284,1.53
uDreyfus2_CaDENCE::cadence.fit_optim_02,0.091,0.0083,0.073,0.2285,1.53
uDreyfus2_CaDENCE::cadence.fit_optim_03,0.0909,0.0083,0.073,0.2287,1.48
uDreyfus2_CaDENCE::cadence.fit_optim_04,0.3826,0.1464,0.242,1.1212,0.8
uDreyfus2_CaDENCE::cadence.fit_optim_05,0.091,0.0083,0.0731,0.2289,1.5
uDreyfus2_CaDENCE::cadence.fit_optim_06,0.2546,0.0648,0.1785,0.7704,1.06
uDreyfus2_CaDENCE::cadence.fit_optim_07,0.0909,0.0083,0.073,0.2287,1.5
uDreyfus2_CaDENCE::cadence.fit_optim_08,0.1526,0.0233,0.1093,0.4996,1.5
uDreyfus2_CaDENCE::cadence.fit_optim_09,0.2634,0.0694,0.1855,0.7975,1.01
uDreyfus2_CaDENCE::cadence.fit_optim_10,0.0952,0.0091,0.0749,0.2263,1.48
uDreyfus2_CaDENCE::cadence.fit_psoptim_01,0.4078,0.1663,0.2753,1.2235,4.43
uDreyfus2_CaDENCE::cadence.fit_psoptim_02,0.41,0.1681,0.2797,1.2162,4.45
uDreyfus2_CaDENCE::cadence.fit_psoptim_03,0.3873,0.15,0.2795,1.0778,4.42
uDreyfus2_CaDENCE::cadence.fit_psoptim_04,0.4375,0.1914,0.2912,1.2658,4.39
uDreyfus2_CaDENCE::cadence.fit_psoptim_05,0.3336,0.1113,0.2194,1.0982,4.4
uDreyfus2_CaDENCE::cadence.fit_psoptim_06,0.4031,0.1625,0.2749,1.1254,4.42
uDreyfus2_CaDENCE::cadence.fit_psoptim_07,0.4249,0.1805,0.2696,1.37,4.47
uDreyfus2_CaDENCE::cadence.fit_psoptim_08,0.3258,0.1061,0.2177,1.0569,4.41
uDreyfus2_CaDENCE::cadence.fit_psoptim_09,0.3838,0.1473,0.2732,1.0083,4.45
uDreyfus2_CaDENCE::cadence.fit_psoptim_10,0.4093,0.1675,0.2806,1.1909,4.45
uDreyfus2_CaDENCE::cadence.fit_Rprop_01,0.1702,0.029,0.1308,0.474,3.75
uDreyfus2_CaDENCE::cadence.fit_Rprop_02,0.5032,0.2532,0.3451,1.3014,3.78
uDreyfus2_CaDENCE::cadence.fit_Rprop_03,0.1475,0.0217,0.1092,0.473,3.74
uDreyfus2_CaDENCE::cadence.fit_Rprop_04,0.3522,0.124,0.2582,0.9637,3.76
uDreyfus2_CaDENCE::cadence.fit_Rprop_05,0.4048,0.1639,0.2812,1.1169,3.78
uDreyfus2_CaDENCE::cadence.fit_Rprop_06,0.3798,0.1442,0.2541,1.0956,3.75
uDreyfus2_CaDENCE::cadence.fit_Rprop_07,0.3317,0.11,0.2383,1.0767,3.77
uDreyfus2_CaDENCE::cadence.fit_Rprop_08,0.3951,0.1561,0.2714,1.0702,3.76
uDreyfus2_CaDENCE::cadence.fit_Rprop_09,0.7043,0.496,0.4782,1.8272,3.78
uDreyfus2_CaDENCE::cadence.fit_Rprop_10,0.5789,0.3352,0.3986,1.4979,3.75
uDreyfus2_deepdive::deepnet_gradientDescent_01,0.357,0.1275,0.2905,0.8478,5.33
uDreyfus2_deepdive::deepnet_gradientDescent_02,0.357,0.1275,0.2905,0.8478,5.49
uDreyfus2_deepdive::deepnet_gradientDescent_03,0.357,0.1275,0.2905,0.8478,5.22
uDreyfus2_deepdive::deepnet_gradientDescent_04,0.357,0.1275,0.2905,0.8478,5.2
uDreyfus2_deepdive::deepnet_gradientDescent_05,0.357,0.1275,0.2905,0.8478,5.32
uDreyfus2_deepdive::deepnet_gradientDescent_06,0.357,0.1275,0.2905,0.8478,5.22
uDreyfus2_deepdive::deepnet_gradientDescent_07,0.357,0.1275,0.2905,0.8478,5.19
uDreyfus2_deepdive::deepnet_gradientDescent_08,0.357,0.1275,0.2905,0.8478,5.23
uDreyfus2_deepdive::deepnet_gradientDescent_09,0.357,0.1275,0.2905,0.8478,5.26
uDreyfus2_deepdive::deepnet_gradientDescent_10,0.357,0.1275,0.2905,0.8478,5.31
uDreyfus2_deepdive::deepnet_momentum_01,0.357,0.1275,0.2907,0.8468,5.72
uDreyfus2_deepdive::deepnet_momentum_02,0.357,0.1275,0.2907,0.8468,5.51
uDreyfus2_deepdive::deepnet_momentum_03,0.357,0.1275,0.2907,0.8468,5.73
uDreyfus2_deepdive::deepnet_momentum_04,0.357,0.1275,0.2907,0.8468,5.47
uDreyfus2_deepdive::deepnet_momentum_05,0.357,0.1275,0.2907,0.8468,5.5
uDreyfus2_deepdive::deepnet_momentum_06,0.357,0.1275,0.2907,0.8468,5.67
uDreyfus2_deepdive::deepnet_momentum_07,0.357,0.1275,0.2907,0.8468,5.53
uDreyfus2_deepdive::deepnet_momentum_08,0.357,0.1275,0.2907,0.8468,5.41
uDreyfus2_deepdive::deepnet_momentum_09,0.357,0.1275,0.2907,0.8468,5.61
uDreyfus2_deepdive::deepnet_momentum_10,0.357,0.1275,0.2907,0.8468,5.39
uDreyfus2_deepdive::deepnet_rmsProp_01,0.1625,0.0264,0.1232,0.4839,0.57
uDreyfus2_deepdive::deepnet_rmsProp_02,0.1625,0.0264,0.1232,0.4839,0.57
uDreyfus2_deepdive::deepnet_rmsProp_03,0.1625,0.0264,0.1232,0.4839,0.6
uDreyfus2_deepdive::deepnet_rmsProp_04,0.1625,0.0264,0.1232,0.4839,0.54
uDreyfus2_deepdive::deepnet_rmsProp_05,0.1625,0.0264,0.1232,0.4839,0.56
uDreyfus2_deepdive::deepnet_rmsProp_06,0.1625,0.0264,0.1232,0.4839,0.56
uDreyfus2_deepdive::deepnet_rmsProp_07,0.1625,0.0264,0.1232,0.4839,0.56
uDreyfus2_deepdive::deepnet_rmsProp_08,0.1625,0.0264,0.1232,0.4839,0.56
uDreyfus2_deepdive::deepnet_rmsProp_09,0.1625,0.0264,0.1232,0.4839,0.55
uDreyfus2_deepdive::deepnet_rmsProp_10,0.1625,0.0264,0.1232,0.4839,0.55
uDreyfus2_deepdive::deepnet_adam_01,0.1149,0.0132,0.0907,0.2749,0.58
uDreyfus2_deepdive::deepnet_adam_02,0.1149,0.0132,0.0907,0.2749,0.54
