event,RMSE,MSE,MAE,WAE,time
uGauss1_AMORE::train_ADAPTgd_01,28.7129,824.4278,23.3275,64.0206,0.05
uGauss1_AMORE::train_ADAPTgd_02,28.6468,820.6412,22.8915,65.4094,0.05
uGauss1_AMORE::train_ADAPTgd_03,28.711,824.3231,23.3774,62.4498,0.06
uGauss1_AMORE::train_ADAPTgd_04,12.1677,148.0537,10.2344,28.2968,0.05
uGauss1_AMORE::train_ADAPTgd_05,28.5891,817.3346,23.3109,62.569,0.04
uGauss1_AMORE::train_ADAPTgd_06,28.6818,822.6445,22.9896,65.1856,0.06
uGauss1_AMORE::train_ADAPTgd_07,29.0173,842.0063,23.7901,59.6068,0.05
uGauss1_AMORE::train_ADAPTgd_08,12.2698,150.5481,10.1876,28.955,0.05
uGauss1_AMORE::train_ADAPTgd_09,28.6124,818.6705,22.9251,65.0672,0.06
uGauss1_AMORE::train_ADAPTgd_10,12.4036,153.8495,9.9965,34.8109,0.06
uGauss1_AMORE::train_ADAPTgdwm_01,29.7193,883.239,15.445,77.4941,0.09
uGauss1_AMORE::train_ADAPTgdwm_02,3.5111,12.3278,2.5296,15.4937,0.08
uGauss1_AMORE::train_ADAPTgdwm_03,4.8283,23.3128,2.9937,22.7403,0.1
uGauss1_AMORE::train_ADAPTgdwm_04,3.4947,12.2133,2.5236,15.3243,0.09
uGauss1_AMORE::train_ADAPTgdwm_05,6.9845,48.7833,4.0942,31.0698,0.1
uGauss1_AMORE::train_ADAPTgdwm_06,29.0386,843.2409,15.1191,75.9813,0.09
uGauss1_AMORE::train_ADAPTgdwm_07,6.3622,40.477,3.6544,29.0889,0.1
uGauss1_AMORE::train_ADAPTgdwm_08,6.5778,43.2678,3.7504,30.1252,0.09
uGauss1_AMORE::train_ADAPTgdwm_09,28.066,787.6996,14.7942,73.7791,0.1
uGauss1_AMORE::train_ADAPTgdwm_10,6.1274,37.5455,3.4978,28.3615,0.09
uGauss1_AMORE::train_BATCHgd_01,13.1724,173.5117,11.3023,31.5339,1.7
uGauss1_AMORE::train_BATCHgd_02,12.11,146.6529,10.2336,26.1678,1.71
uGauss1_AMORE::train_BATCHgd_03,12.0712,145.715,10.2094,26.055,1.71
uGauss1_AMORE::train_BATCHgd_04,12.2971,151.2194,10.4108,26.3341,1.72
uGauss1_AMORE::train_BATCHgd_05,12.5471,157.4308,10.6972,26.8423,1.71
uGauss1_AMORE::train_BATCHgd_06,12.2672,150.484,10.3564,26.4603,1.69
uGauss1_AMORE::train_BATCHgd_07,13.1282,172.3485,11.2429,31.1318,1.69
uGauss1_AMORE::train_BATCHgd_08,12.8271,164.5335,10.9372,28.8517,1.69
uGauss1_AMORE::train_BATCHgd_09,12.4002,153.7639,10.5048,25.9779,1.68
uGauss1_AMORE::train_BATCHgd_10,12.3743,153.1234,10.5459,26.5016,1.69
uGauss1_AMORE::train_BATCHgdwm_01,13.4559,181.0625,11.5418,32.7184,1.73
uGauss1_AMORE::train_BATCHgdwm_02,12.6593,160.2589,10.8347,27.5369,1.68
uGauss1_AMORE::train_BATCHgdwm_03,12.3669,152.9413,10.4612,26.1806,1.69
uGauss1_AMORE::train_BATCHgdwm_04,12.0192,144.4602,10.1611,26.2221,1.69
uGauss1_AMORE::train_BATCHgdwm_05,12.1071,146.5811,10.2399,26.4115,1.72
uGauss1_AMORE::train_BATCHgdwm_06,12.1698,148.1033,10.2842,26.1566,1.72
uGauss1_AMORE::train_BATCHgdwm_07,13.0336,169.8744,11.2091,30.6473,1.71
uGauss1_AMORE::train_BATCHgdwm_08,11.9912,143.79,10.1183,25.8322,1.74
uGauss1_AMORE::train_BATCHgdwm_09,12.2761,150.7036,10.395,26.3577,1.7
uGauss1_AMORE::train_BATCHgdwm_10,12.312,151.5845,10.4288,26.2093,1.7
uGauss1_ANN2::neuralnetwork_sgd_01,12.0308,144.7405,10.1081,27.0951,0.09
