"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.054,7.4794,8.1969,0.717499999999999,6.0059,23.913,1
"AMORE::train_ADAPTgdwm",0.068,4.3864,10.4646,6.0782,6.6054,38.572,2
"AMORE::train_BATCHgd",1.552,9.1582,9.7638,0.605599999999999,7.1783,28.5231,3
"AMORE::train_BATCHgdwm",1.578,9.219,9.4697,0.2507,6.9325,27.9676,4
"ANN2::neuralnetwork_adam",0.086,3.731,4.0836,0.3526,3.233,12.0798,5
"ANN2::neuralnetwork_rmsprop",0.1,3.5637,4.2355,0.6718,3.2536,15.9291,6
"ANN2::neuralnetwork_sgd",0.078,7.4578,8.3914,0.933600000000001,6.347,25.3806,7
"automl::automl_train_manual_trainwgrad_adam",4.952,8.1454,8.642,0.496599999999999,6.1349,30.0687,8
"automl::automl_train_manual_trainwgrad_RMSprop",4.436,3.9723,8.4113,4.439,5.6794,30.3739,9
"automl::automl_train_manual_trainwpso",8.702,6.1384,8.6501,2.5117,6.2805,24.333,10
"brnn::brnn_Gauss-Newton",0.048,2.3781,3.5508,1.1727,2.9377,10.2283,11
"CaDENCE::cadence.fit_optim",2.32,2.4041,3.1503,0.7462,2.3988,10.7996,12
"CaDENCE::cadence.fit_psoptim",5.752,11.1566,15.421,4.2644,12.0091,37.0326,13
"CaDENCE::cadence.fit_Rprop",5.81,11.7899,17.6638,5.8739,12.7742,39.4495,14
"caret::avNNet_none",0.086,2.424,3.2653,0.8413,2.6499,9.8629,15
"deepdive::deepnet_adam",0.618,16.8843,16.8843,0,11.6361,46.6218,16
"deepdive::deepnet_gradientDescent",5.934,28.8118,28.8118,0,25.177,67.7823,17
"deepdive::deepnet_momentum",6.176,28.8104,28.8104,0,25.1756,67.802,18
"deepdive::deepnet_rmsProp",0.62,18.3426,18.3426,0,12.6957,49.5614,19
"deepnet::nn.train_BP",0.32,3.4032,6.483,3.0798,4.8425,17.3581,20
"elmNNRcpp::elm_train_extremeML",0,20.3911,23.5586,3.1675,20.1337,51.5475,21
"ELMR::OSelm_train.formula_extremeML",0.014,27.8077,31.2976,3.4899,25.2946,82.5683,22
"EnsembleBase::Regression.Batch.Fit_none",0.03,2.7901,3.8821,1.092,3.0341,11.9878,23
"h2o::h2o.deeplearning_first-order",4.394,2.8574,3.4454,0.588,2.7928,11.6466,24
"keras::fit_adadelta",51.048,3.8515,3.8918,0.0402999999999998,2.8916,15.271,25
"keras::fit_adagrad",31.862,5.0447,8.881,3.8363,6.5481,25.2992,26
"keras::fit_adam",3.046,3.9732,6.7909,2.8177,5.1083,18.939,27
"keras::fit_adamax",6.844,3.8559,4.2292,0.3733,3.318,12.7852,28
"keras::fit_nadam",3.374,4.2819,7.1607,2.8788,5.6164,19.4085,29
"keras::fit_rmsprop",2.276,8.1016,10.2651,2.1635,7.5917,28.4689,30
"keras::fit_sgd",9.784,5.1907,8.8123,3.6216,6.48,24.851,31
"MachineShop::fit_none",0.024,2.5986,3.121,0.5224,2.4847,9.3644,32
"minpack.lm::nlsLM_none",0.05,2.9795,2.9795,0,2.389,9.054,33
"monmlp::monmlp.fit_BFGS",0.224,3.0438,4.6769,1.6331,3.6151,13.7834,34
"monmlp::monmlp.fit_Nelder-Mead",0.412,8.2728,9.5898,1.317,6.7817,30.1673,35
"neuralnet::neuralnet_backprop",0.866,4.2479,4.3983,0.1504,3.4494,12.7619,36
"neuralnet::neuralnet_rprop-",0.08,3.5904,4.402,0.8116,3.4777,14.156,37
"neuralnet::neuralnet_rprop+",0.064,3.6133,8.6404,5.0271,6.1594,25.2448,38
"neuralnet::neuralnet_sag",1.916,3.3723,8.639,5.2667,6.1167,24.7388,39
"neuralnet::neuralnet_slr",0.19,3.5678,3.7435,0.1757,2.7163,14.9299,40
"nlsr::nlxb_none",0.118,2.3327,2.9754,0.6427,2.3838,9.0619,41
"nnet::nnet_none",0.026,2.3625,3.0894,0.7269,2.4567,9.4881,42
"qrnn::qrnn.fit_none",0.248,2.6571,3.7782,1.1211,2.6654,16.0998,43
"radiant.model::nn_none",0.056,2.5784,4.5795,2.0011,3.7498,11.3454,44
"rminer::fit_none",0.082,2.3604,2.369,0.00860000000000039,1.863,7.5477,45
"RSNNS::mlp_BackpropBatch",3.266,12.1638,14.7088,2.545,11.5655,30.3793,46
"RSNNS::mlp_BackpropChunk",0.332,3.2955,4.7181,1.4226,3.6073,15.4886,47
"RSNNS::mlp_BackpropMomentum",0.352,3.3532,4.815,1.4618,3.7195,15.6644,48
"RSNNS::mlp_BackpropWeightDecay",0.32,4.5703,6.739,2.1687,5.5508,19.8255,49
"RSNNS::mlp_Quickprop",3.522,24.5455,25.0662,0.520699999999998,19.9234,51.7595,50
"RSNNS::mlp_Rprop",0.316,3.5732,6.3892,2.816,4.6858,19.1326,51
"RSNNS::mlp_SCG",0.556,6.2398,6.4892,0.249400000000001,4.8401,20.2438,52
"RSNNS::mlp_Std_Backpropagation",0.318,3.4215,4.832,1.4105,3.8106,15.2518,53
"snnR::snnR_none",0.044,8.8419,9.4678,0.6259,6.9147,30.1105,54
"traineR::train.nnet_none",0.018,2.3713,2.602,0.2307,2.0822,8.0308,55
"validann::ann_BFGS",0.792,2.3571,2.3654,0.0083000000000002,1.864,7.5013,56
"validann::ann_CG",34.308,3.5928,6.3016,2.7088,4.7543,17.8412,57
"validann::ann_L-BFGS-B",0.84,3.0632,4.0776,1.0144,3.1853,13.2715,58
"validann::ann_Nelder-Mead",29.606,6.7221,7.5819,0.8598,5.9618,22.5839,59
"validann::ann_SANN",0.204,9.9162,14.273,4.3568,11.6041,32.1496,60
