"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"AMORE::train_ADAPTgd",0.02,0.2958,0.2965,0.000699999999999978,0.2451,0.6433,1
"AMORE::train_ADAPTgdwm",0.028,0.2854,0.2854,0,0.2285,0.6436,2
"AMORE::train_BATCHgd",1.232,0.2931,0.2935,0.000399999999999956,0.2421,0.6309,3
"AMORE::train_BATCHgdwm",1.24,0.2924,0.2933,0.000900000000000012,0.2419,0.6303,4
"ANN2::neuralnetwork_adam",0.008,0.3082,0.3485,0.0403,0.2776,0.7493,5
"ANN2::neuralnetwork_rmsprop",0.008,0.2904,0.2912,0.000800000000000023,0.2376,0.6015,6
"ANN2::neuralnetwork_sgd",0.01,0.3069,0.3088,0.00190000000000001,0.2535,0.6226,7
"automl::automl_train_manual_trainwgrad_adam",1.214,0.2844,0.2895,0.00509999999999999,0.2378,0.6469,8
"automl::automl_train_manual_trainwgrad_RMSprop",1.09,0.2842,0.2888,0.00459999999999999,0.2403,0.6528,9
"automl::automl_train_manual_trainwpso",4.896,0.2847,0.2878,0.00309999999999999,0.235,0.5413,10
"brnn::brnn_Gauss-Newton",0.008,0.3523,0.3523,0,0.2848,0.8271,11
"CaDENCE::cadence.fit_optim",0.298,0.2831,0.2831,0,0.231,0.5816,12
"CaDENCE::cadence.fit_psoptim",4.244,0.5523,0.7577,0.2054,0.58,1.9676,13
"CaDENCE::cadence.fit_Rprop",2.786,0.3054,0.3248,0.0194,0.2626,0.7872,14
"caret::avNNet_none",0.01,0.2904,0.2946,0.00419999999999998,0.2437,0.6434,15
"deepdive::deepnet_adam",0.562,0.2946,0.2946,0,0.2459,0.5582,16
"deepdive::deepnet_gradientDescent",5.16,0.3666,0.3666,0,0.3105,0.6748,17
"deepdive::deepnet_momentum",5.348,0.3544,0.3544,0,0.3001,0.6152,18
"deepdive::deepnet_rmsProp",0.552,0.3161,0.3161,0,0.2695,0.5981,19
"deepnet::nn.train_BP",0.084,0.283,0.283,0,0.2314,0.5653,20
"elmNNRcpp::elm_train_extremeML",0,0.865,0.9526,0.0876,0.7905,2.2943,21
"ELMR::OSelm_train.formula_extremeML",0,0.9735,1.0466,0.0730999999999999,0.864,2.4817,22
"EnsembleBase::Regression.Batch.Fit_none",0.012,0.2826,0.2831,0.0005,0.2326,0.5543,23
"h2o::h2o.deeplearning_first-order",3.344,0.2831,0.2832,0.000099999999999989,0.2331,0.5539,24
"keras::fit_adadelta",19.378,0.2871,0.2879,0.000799999999999967,0.2377,0.5887,25
"keras::fit_adagrad",13.868,0.2893,0.2936,0.00430000000000003,0.2429,0.5637,26
"keras::fit_adam",1.32,0.2869,0.2875,0.000599999999999989,0.234,0.5886,27
"keras::fit_adamax",2.502,0.2841,0.2864,0.00229999999999997,0.2366,0.5789,28
"keras::fit_nadam",1.518,0.2855,0.2896,0.00410000000000005,0.2437,0.6055,29
"keras::fit_rmsprop",1.108,0.3042,0.3629,0.0587,0.3049,0.7486,30
"keras::fit_sgd",3.468,0.2901,0.2922,0.00209999999999999,0.241,0.5769,31
"MachineShop::fit_none",0.01,0.283,0.283,0,0.2313,0.5675,32
"minpack.lm::nlsLM_none",0.004,1.272,1.272,0,1.1104,2.515,33
"monmlp::monmlp.fit_BFGS",0.194,0.2831,0.2834,0.000299999999999967,0.2312,0.581,34
"monmlp::monmlp.fit_Nelder-Mead",0.224,0.302,0.3266,0.0246,0.2601,0.6451,35
"neuralnet::neuralnet_backprop",0.152,0.2898,0.2926,0.00280000000000002,0.2423,0.5889,36
"neuralnet::neuralnet_rprop-",0.01,0.2864,0.2935,0.0071,0.248,0.6059,37
"neuralnet::neuralnet_rprop+",0,0.2848,0.3165,0.0317,0.2586,0.6196,38
"neuralnet::neuralnet_sag",0.056,0.2893,0.3212,0.0319,0.2638,0.6316,39
"neuralnet::neuralnet_slr",0.052,0.2923,0.3203,0.028,0.2607,0.8073,40
"nlsr::nlxb_none",0.008,0.283,0.283,0,0.2313,0.5675,41
