event,RMSE,MSE,MAE,WAE,time
uNeuroOne_brnn::brnn_gaussNewton_01,0.3523,0.1241,0.2848,0.827,0
uNeuroOne_brnn::brnn_gaussNewton_02,0.3523,0.1241,0.2848,0.8269,0.01
uNeuroOne_brnn::brnn_gaussNewton_03,0.3522,0.1241,0.2848,0.8269,0
uNeuroOne_brnn::brnn_gaussNewton_04,0.3523,0.1241,0.2848,0.8271,0
uNeuroOne_brnn::brnn_gaussNewton_05,0.3523,0.1241,0.2848,0.8272,0
uNeuroOne_brnn::brnn_gaussNewton_06,0.3522,0.1241,0.2848,0.8268,0.01
uNeuroOne_brnn::brnn_gaussNewton_07,0.3523,0.1241,0.2848,0.8272,0.01
uNeuroOne_brnn::brnn_gaussNewton_08,0.3523,0.1241,0.2848,0.8272,0
uNeuroOne_brnn::brnn_gaussNewton_09,0.3523,0.1241,0.2848,0.827,0
uNeuroOne_brnn::brnn_gaussNewton_10,0.3523,0.1241,0.2848,0.8271,0
uNeuroOne_brnn::brnn_gaussNewton_11,0.3523,0.1241,0.2848,0.8269,0
uNeuroOne_brnn::brnn_gaussNewton_12,0.3523,0.1241,0.2848,0.8271,0.02
uNeuroOne_brnn::brnn_gaussNewton_13,0.3523,0.1241,0.2848,0.8271,0.02
uNeuroOne_brnn::brnn_gaussNewton_14,0.3523,0.1241,0.2848,0.8272,0
uNeuroOne_brnn::brnn_gaussNewton_15,0.3523,0.1241,0.2848,0.827,0
uNeuroOne_brnn::brnn_gaussNewton_16,0.3522,0.1241,0.2848,0.8268,0
uNeuroOne_brnn::brnn_gaussNewton_17,0.3523,0.1241,0.2848,0.8272,0
uNeuroOne_brnn::brnn_gaussNewton_18,0.3523,0.1241,0.2848,0.8271,0.01
uNeuroOne_brnn::brnn_gaussNewton_19,0.3522,0.1241,0.2848,0.8268,0.02
uNeuroOne_brnn::brnn_gaussNewton_20,0.3523,0.1241,0.2848,0.8268,0
uNeuroOne_CaDENCE::cadence.fit_optim_01,0.2831,0.0801,0.231,0.5816,0.55
uNeuroOne_CaDENCE::cadence.fit_optim_02,0.2831,0.0801,0.231,0.5816,0.48
uNeuroOne_CaDENCE::cadence.fit_optim_03,0.2831,0.0801,0.231,0.5816,0.36
uNeuroOne_CaDENCE::cadence.fit_optim_04,0.2831,0.0801,0.231,0.5816,0.31
uNeuroOne_CaDENCE::cadence.fit_optim_05,0.2831,0.0801,0.231,0.5816,0.31
uNeuroOne_CaDENCE::cadence.fit_optim_06,0.2831,0.0801,0.231,0.5815,0.26
uNeuroOne_CaDENCE::cadence.fit_optim_07,0.2831,0.0801,0.231,0.5816,0.3
uNeuroOne_CaDENCE::cadence.fit_optim_08,0.2831,0.0801,0.231,0.5816,0.31
uNeuroOne_CaDENCE::cadence.fit_optim_09,0.2831,0.0801,0.231,0.5816,0.26
uNeuroOne_CaDENCE::cadence.fit_optim_10,0.2831,0.0801,0.231,0.5816,0.25
uNeuroOne_CaDENCE::cadence.fit_optim_11,0.2831,0.0801,0.231,0.5816,0.34
uNeuroOne_CaDENCE::cadence.fit_optim_12,0.2831,0.0801,0.231,0.5816,0.36
