event,RMSE,MSE,MAE,WAE,time
mDette_ANN2::neuralnetwork_sgd_01,8.1656,66.677,6.5262,36.2385,0.003
mDette_ANN2::neuralnetwork_sgd_02,8.1656,66.677,6.5262,36.2385,0.022
mDette_ANN2::neuralnetwork_sgd_03,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_sgd_04,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_sgd_05,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_01,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_02,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_03,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_04,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_05,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_sgd_01,8.1656,66.677,6.5262,36.2385,0.003
mDette_ANN2::neuralnetwork_sgd_02,8.1656,66.677,6.5262,36.2385,0.024
mDette_ANN2::neuralnetwork_sgd_03,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_sgd_04,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_sgd_05,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_rmsprop_01,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_rmsprop_02,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_rmsprop_03,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_rmsprop_04,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_rmsprop_05,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_01,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_02,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_03,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_04,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_adam_05,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_rmsprop_01,8.1656,66.677,6.5262,36.2385,0
mDette_ANN2::neuralnetwork_rmsprop_02,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_rmsprop_03,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_rmsprop_04,8.1656,66.677,6.5262,36.2385,0.001
mDette_ANN2::neuralnetwork_rmsprop_05,8.1656,66.677,6.5262,36.2385,0
mDette_ANN2::neuralnetwork_sgd_01,0.4391,0.1928,0.3425,1.6285,0.23
mDette_ANN2::neuralnetwork_sgd_02,1.8494,3.4204,1.5039,7.0529,0.237
mDette_ANN2::neuralnetwork_sgd_03,1.9377,3.7546,1.6312,5.4932,0.227
mDette_ANN2::neuralnetwork_sgd_04,2.0234,4.0943,1.5149,11.71,0.232
mDette_ANN2::neuralnetwork_sgd_05,1.7979,3.2324,1.4739,7.2895,0.233
mDette_ANN2::neuralnetwork_adam_01,2.0914,4.3741,1.4553,13.059,0.234
mDette_ANN2::neuralnetwork_adam_02,2.0308,4.1241,1.5084,11.415,0.239
mDette_ANN2::neuralnetwork_adam_03,2.1193,4.4916,1.4568,13.6032,0.234
mDette_ANN2::neuralnetwork_adam_04,2.0586,4.2377,1.515,11.9607,0.237
mDette_ANN2::neuralnetwork_adam_05,2.312,5.3453,1.8319,11.3316,0.235
mDette_ANN2::neuralnetwork_rmsprop_01,2.2031,4.8537,1.5942,12.7439,0.226
mDette_ANN2::neuralnetwork_rmsprop_02,2.1546,4.6423,1.5344,13.0379,0.23
mDette_ANN2::neuralnetwork_rmsprop_03,0.4518,0.2041,0.3488,1.7189,0.23
mDette_ANN2::neuralnetwork_rmsprop_04,1.1914,1.4195,0.9327,5.574,0.229
mDette_ANN2::neuralnetwork_rmsprop_05,2.0985,4.4039,1.5153,12.7345,0.226
