event,RMSE,MSE,MAE,WAE,time
mFriedman_ANN2::neuralnetwork_sgd_01,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_sgd_02,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_sgd_03,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_sgd_04,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_sgd_05,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_adam_01,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_adam_02,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_adam_03,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_adam_04,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_adam_05,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_sgd_01,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_sgd_02,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_sgd_03,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_sgd_04,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_sgd_05,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_rmsprop_01,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_rmsprop_02,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_rmsprop_03,0.2348,0.0551,0.188,0.6346,0
mFriedman_ANN2::neuralnetwork_rmsprop_04,0.2348,0.0551,0.188,0.6346,0
mFriedman_ANN2::neuralnetwork_rmsprop_05,0.2348,0.0551,0.188,0.6346,0
mFriedman_ANN2::neuralnetwork_adam_01,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_adam_02,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_adam_03,0.2348,0.0551,0.188,0.6346,0
mFriedman_ANN2::neuralnetwork_adam_04,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_adam_05,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_rmsprop_01,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_rmsprop_02,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_rmsprop_03,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_rmsprop_04,0.2348,0.0551,0.188,0.6346,0.001
mFriedman_ANN2::neuralnetwork_rmsprop_05,0.2348,0.0551,0.188,0.6346,0
mFriedman_ANN2::neuralnetwork_sgd_01,0.0209,4e-04,0.0164,0.0651,0.244
mFriedman_ANN2::neuralnetwork_sgd_02,0.0175,3e-04,0.0138,0.0519,0.242
mFriedman_ANN2::neuralnetwork_sgd_03,0.0835,0.007,0.0743,0.1727,0.246
mFriedman_ANN2::neuralnetwork_sgd_04,0.0241,6e-04,0.0194,0.0823,0.246
mFriedman_ANN2::neuralnetwork_sgd_05,0.0211,4e-04,0.0171,0.06,0.245
mFriedman_ANN2::neuralnetwork_adam_01,0.017,3e-04,0.0137,0.0444,0.261
mFriedman_ANN2::neuralnetwork_adam_02,0.0166,3e-04,0.0135,0.0555,0.258
mFriedman_ANN2::neuralnetwork_adam_03,0.0179,3e-04,0.0141,0.0664,0.256
mFriedman_ANN2::neuralnetwork_adam_04,0.0818,0.0067,0.073,0.1794,0.258
mFriedman_ANN2::neuralnetwork_adam_05,0.0192,4e-04,0.0155,0.0545,0.262
mFriedman_ANN2::neuralnetwork_rmsprop_01,0.0705,0.005,0.0519,0.1772,0.255
mFriedman_ANN2::neuralnetwork_rmsprop_02,0.0905,0.0082,0.0762,0.2052,0.251
mFriedman_ANN2::neuralnetwork_rmsprop_03,0.0245,6e-04,0.0198,0.0762,0.251
mFriedman_ANN2::neuralnetwork_rmsprop_04,0.0281,8e-04,0.0227,0.0878,0.252
mFriedman_ANN2::neuralnetwork_rmsprop_05,0.023,5e-04,0.0184,0.0695,0.251
