event,RMSE,MSE,MAE,WAE,time
mIshigami_ANN2::neuralnetwork_sgd_01,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_sgd_02,3.6898,13.6148,2.9776,13.1137,0
mIshigami_ANN2::neuralnetwork_sgd_03,3.6898,13.6148,2.9776,13.1137,0
mIshigami_ANN2::neuralnetwork_sgd_04,3.6898,13.6148,2.9776,13.1137,0
mIshigami_ANN2::neuralnetwork_sgd_05,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_01,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_02,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_03,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_04,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_05,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_sgd_01,3.6898,13.6148,2.9776,13.1137,0
mIshigami_ANN2::neuralnetwork_sgd_02,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_sgd_03,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_sgd_04,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_sgd_05,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_rmsprop_01,3.6898,13.6148,2.9776,13.1137,0
mIshigami_ANN2::neuralnetwork_rmsprop_02,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_rmsprop_03,3.6898,13.6148,2.9776,13.1137,0
mIshigami_ANN2::neuralnetwork_rmsprop_04,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_rmsprop_05,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_01,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_02,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_03,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_04,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_adam_05,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_rmsprop_01,3.6898,13.6148,2.9776,13.1137,0
mIshigami_ANN2::neuralnetwork_rmsprop_02,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_rmsprop_03,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_rmsprop_04,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_rmsprop_05,3.6898,13.6148,2.9776,13.1137,0.001
mIshigami_ANN2::neuralnetwork_sgd_01,2.4326,5.9175,1.9915,7.0317,0.26
mIshigami_ANN2::neuralnetwork_sgd_02,2.4751,6.1261,2.032,7.2923,0.257
mIshigami_ANN2::neuralnetwork_sgd_03,0.8371,0.7007,0.6181,3.1977,0.262
mIshigami_ANN2::neuralnetwork_sgd_04,2.4355,5.9317,2.0058,6.0112,0.258
mIshigami_ANN2::neuralnetwork_sgd_05,2.1798,4.7517,1.7216,5.845,0.258
mIshigami_ANN2::neuralnetwork_adam_01,0.7872,0.6197,0.5991,3.0147,0.282
mIshigami_ANN2::neuralnetwork_adam_02,0.7606,0.5786,0.572,2.8402,0.285
mIshigami_ANN2::neuralnetwork_adam_03,0.7664,0.5874,0.576,3.0008,0.279
mIshigami_ANN2::neuralnetwork_adam_04,0.7495,0.5617,0.5608,3.2807,0.286
mIshigami_ANN2::neuralnetwork_adam_05,0.7519,0.5654,0.5634,3.2266,0.278
mIshigami_ANN2::neuralnetwork_rmsprop_01,0.7723,0.5964,0.5751,3.0597,0.272
mIshigami_ANN2::neuralnetwork_rmsprop_02,0.9449,0.8929,0.7341,3.5039,0.274
mIshigami_ANN2::neuralnetwork_rmsprop_03,0.8728,0.7619,0.648,3.5679,0.282
mIshigami_ANN2::neuralnetwork_rmsprop_04,0.7673,0.5887,0.5746,3.4462,0.275
mIshigami_ANN2::neuralnetwork_rmsprop_05,0.788,0.621,0.5966,2.7608,0.272
