event,RMSE,MSE,MAE,WAE,time
mRef153_ANN2::neuralnetwork_sgd_01,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_02,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_03,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_04,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_05,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_adam_01,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_adam_02,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_adam_03,27.8983,778.313,25.1873,50.0261,0
mRef153_ANN2::neuralnetwork_adam_04,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_adam_05,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_01,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_02,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_03,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_04,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_05,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_01,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_02,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_03,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_04,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_05,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_adam_01,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_adam_02,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_adam_03,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_adam_04,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_adam_05,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_01,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_02,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_03,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_04,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_rmsprop_05,27.8983,778.313,25.1873,50.0261,0.001
mRef153_ANN2::neuralnetwork_sgd_01,3.7121,13.78,2.7282,14.5046,0.05
mRef153_ANN2::neuralnetwork_sgd_02,3.5664,12.7193,2.5901,13.8045,0.049
mRef153_ANN2::neuralnetwork_sgd_03,3.5571,12.653,2.5727,13.9428,0.048
mRef153_ANN2::neuralnetwork_sgd_04,3.6388,13.2412,2.7012,13.5501,0.048
mRef153_ANN2::neuralnetwork_sgd_05,3.3849,11.4577,2.4171,13.8498,0.049
mRef153_ANN2::neuralnetwork_adam_01,3.206,10.2785,2.311,12.2298,0.051
mRef153_ANN2::neuralnetwork_adam_02,3.2269,10.4129,2.3577,13.0434,0.052
mRef153_ANN2::neuralnetwork_adam_03,3.52,12.3903,2.5033,13.4472,0.051
mRef153_ANN2::neuralnetwork_adam_04,3.1891,10.1703,2.1993,13.605,0.051
mRef153_ANN2::neuralnetwork_adam_05,3.46,11.9715,2.5976,13.4008,0.051
mRef153_ANN2::neuralnetwork_rmsprop_01,3.8,14.4401,2.9099,13.4217,0.05
mRef153_ANN2::neuralnetwork_rmsprop_02,3.3713,11.3659,2.3139,14.8122,0.05
mRef153_ANN2::neuralnetwork_rmsprop_03,3.8581,14.8852,2.7577,15.1649,0.051
mRef153_ANN2::neuralnetwork_rmsprop_04,3.6052,12.9978,2.6575,14.1318,0.05
mRef153_ANN2::neuralnetwork_rmsprop_05,3.3926,11.5101,2.3317,14.5857,0.051
