event,RMSE,MSE,MAE,WAE,time
uDmod2_ANN2::neuralnetwork_sgd_01,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_sgd_02,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_sgd_03,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_sgd_04,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_sgd_05,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_adam_01,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_adam_02,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_adam_03,0.5176,0.2679,0.4253,1.0187,0
uDmod2_ANN2::neuralnetwork_adam_04,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_adam_05,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_sgd_01,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_sgd_02,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_sgd_03,0.5176,0.2679,0.4253,1.0187,0
uDmod2_ANN2::neuralnetwork_sgd_04,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_sgd_05,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_rmsprop_01,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_rmsprop_02,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_rmsprop_03,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_rmsprop_04,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_rmsprop_05,0.5176,0.2679,0.4253,1.0187,0
uDmod2_ANN2::neuralnetwork_adam_01,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_adam_02,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_adam_03,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_adam_04,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_adam_05,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_rmsprop_01,0.5176,0.2679,0.4253,1.0187,0
uDmod2_ANN2::neuralnetwork_rmsprop_02,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_rmsprop_03,0.5176,0.2679,0.4253,1.0187,0
uDmod2_ANN2::neuralnetwork_rmsprop_04,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_rmsprop_05,0.5176,0.2679,0.4253,1.0187,0.001
uDmod2_ANN2::neuralnetwork_sgd_01,0.2741,0.0751,0.2394,0.5475,0.015
uDmod2_ANN2::neuralnetwork_sgd_02,0.2757,0.076,0.2418,0.5738,0.016
uDmod2_ANN2::neuralnetwork_sgd_03,0.2601,0.0677,0.2259,0.5865,0.015
uDmod2_ANN2::neuralnetwork_sgd_04,0.2713,0.0736,0.2377,0.5449,0.015
uDmod2_ANN2::neuralnetwork_sgd_05,0.2764,0.0764,0.2379,0.6421,0.015
uDmod2_ANN2::neuralnetwork_adam_01,0.1664,0.0277,0.1309,0.4007,0.017
uDmod2_ANN2::neuralnetwork_adam_02,0.2684,0.072,0.2358,0.5419,0.017
uDmod2_ANN2::neuralnetwork_adam_03,0.1703,0.029,0.131,0.4155,0.017
uDmod2_ANN2::neuralnetwork_adam_04,0.173,0.0299,0.1324,0.3987,0.016
uDmod2_ANN2::neuralnetwork_adam_05,0.2831,0.0801,0.2404,0.6675,0.016
uDmod2_ANN2::neuralnetwork_rmsprop_01,0.1698,0.0288,0.1305,0.4394,0.017
uDmod2_ANN2::neuralnetwork_rmsprop_02,0.1916,0.0367,0.1502,0.4902,0.016
uDmod2_ANN2::neuralnetwork_rmsprop_03,0.2791,0.0779,0.2429,0.5092,0.015
uDmod2_ANN2::neuralnetwork_rmsprop_04,0.2812,0.0791,0.2466,0.5336,0.015
uDmod2_ANN2::neuralnetwork_rmsprop_05,0.2773,0.0769,0.2414,0.5524,0.015
