event,RMSE,MSE,MAE,WAE,time
uDreyfus1_ANN2::neuralnetwork_sgd_01,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_sgd_02,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_sgd_03,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_sgd_04,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_sgd_05,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_adam_01,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_adam_02,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_adam_03,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_adam_04,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_adam_05,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_sgd_01,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_sgd_02,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_sgd_03,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_sgd_04,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_sgd_05,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_rmsprop_01,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_rmsprop_02,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_rmsprop_03,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_rmsprop_04,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_rmsprop_05,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_adam_01,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_adam_02,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_adam_03,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_adam_04,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_adam_05,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_rmsprop_01,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_rmsprop_02,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_rmsprop_03,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_rmsprop_04,1.6122,2.5991,1.3725,2.8934,0
uDreyfus1_ANN2::neuralnetwork_rmsprop_05,1.6122,2.5991,1.3725,2.8934,0.001
uDreyfus1_ANN2::neuralnetwork_sgd_01,0.3541,0.1254,0.267,0.8197,0.011
uDreyfus1_ANN2::neuralnetwork_sgd_02,0.3629,0.1317,0.2601,0.8404,0.011
uDreyfus1_ANN2::neuralnetwork_sgd_03,0.3748,0.1405,0.272,0.8628,0.012
uDreyfus1_ANN2::neuralnetwork_sgd_04,0.3566,0.1272,0.2639,0.8258,0.011
uDreyfus1_ANN2::neuralnetwork_sgd_05,0.3523,0.1241,0.2704,0.8288,0.011
uDreyfus1_ANN2::neuralnetwork_adam_01,0.3364,0.1132,0.2691,0.7979,0.012
uDreyfus1_ANN2::neuralnetwork_adam_02,0.3405,0.1159,0.2739,0.7502,0.012
uDreyfus1_ANN2::neuralnetwork_adam_03,0.2915,0.085,0.2323,0.6804,0.012
uDreyfus1_ANN2::neuralnetwork_adam_04,0.3368,0.1134,0.2783,0.7285,0.012
uDreyfus1_ANN2::neuralnetwork_adam_05,0.343,0.1177,0.2771,0.7375,0.011
uDreyfus1_ANN2::neuralnetwork_rmsprop_01,0.2717,0.0738,0.2026,0.6917,0.012
uDreyfus1_ANN2::neuralnetwork_rmsprop_02,0.2904,0.0843,0.2094,0.7789,0.012
uDreyfus1_ANN2::neuralnetwork_rmsprop_03,0.3517,0.1237,0.273,0.7906,0.012
uDreyfus1_ANN2::neuralnetwork_rmsprop_04,0.3445,0.1187,0.2672,0.7759,0.012
uDreyfus1_ANN2::neuralnetwork_rmsprop_05,0.357,0.1274,0.2706,0.8483,0.012
