event,RMSE,MSE,MAE,WAE,time
uGauss2_ANN2::neuralnetwork_sgd_01,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_02,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_03,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_04,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_05,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_adam_01,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_adam_02,37.6867,1420.2842,31.6105,73.2933,0
uGauss2_ANN2::neuralnetwork_adam_03,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_adam_04,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_adam_05,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_01,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_02,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_03,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_04,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_05,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_01,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_02,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_03,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_04,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_05,37.6867,1420.2842,31.6105,73.2933,0
uGauss2_ANN2::neuralnetwork_adam_01,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_adam_02,37.6867,1420.2842,31.6105,73.2933,0
uGauss2_ANN2::neuralnetwork_adam_03,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_adam_04,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_adam_05,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_01,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_02,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_03,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_04,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_rmsprop_05,37.6867,1420.2842,31.6105,73.2933,0.001
uGauss2_ANN2::neuralnetwork_sgd_01,7.5673,57.2637,5.8034,21.048,0.089
uGauss2_ANN2::neuralnetwork_sgd_02,9.5767,91.7138,6.9565,29.3005,0.089
uGauss2_ANN2::neuralnetwork_sgd_03,8.3539,69.787,6.2551,23.2399,0.088
uGauss2_ANN2::neuralnetwork_sgd_04,9.1166,83.1132,6.902,28.9473,0.086
uGauss2_ANN2::neuralnetwork_sgd_05,9.0466,81.8406,6.7065,27.9516,0.083
uGauss2_ANN2::neuralnetwork_adam_01,3.7657,14.1802,3.0105,10.2492,0.094
uGauss2_ANN2::neuralnetwork_adam_02,5.9283,35.1445,4.6812,15.5553,0.093
uGauss2_ANN2::neuralnetwork_adam_03,3.9932,15.9459,3.1797,11.5252,0.097
uGauss2_ANN2::neuralnetwork_adam_04,8.4047,70.6392,6.3928,22.9472,0.085
uGauss2_ANN2::neuralnetwork_adam_05,5.3221,28.3246,3.8566,19.313,0.092
uGauss2_ANN2::neuralnetwork_rmsprop_01,4.4786,20.0576,3.2714,18.1803,0.091
uGauss2_ANN2::neuralnetwork_rmsprop_02,3.9612,15.6914,3.2141,9.8598,0.09
uGauss2_ANN2::neuralnetwork_rmsprop_03,6.4325,41.3772,4.876,18.6793,0.087
uGauss2_ANN2::neuralnetwork_rmsprop_04,3.7777,14.2712,3.154,11.5144,0.09
uGauss2_ANN2::neuralnetwork_rmsprop_05,9.2091,84.808,6.8536,30.631,0.089
