event,RMSE,MSE,MAE,WAE,time
uNeuroOne_ANN2::neuralnetwork_sgd_01,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_sgd_02,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_sgd_03,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_sgd_04,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_sgd_05,1.272,1.6181,1.1104,2.515,0
uNeuroOne_ANN2::neuralnetwork_adam_01,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_adam_02,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_adam_03,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_adam_04,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_adam_05,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_sgd_01,1.272,1.6181,1.1104,2.515,0
uNeuroOne_ANN2::neuralnetwork_sgd_02,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_sgd_03,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_sgd_04,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_sgd_05,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_rmsprop_01,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_rmsprop_02,1.272,1.6181,1.1104,2.515,0
uNeuroOne_ANN2::neuralnetwork_rmsprop_03,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_rmsprop_04,1.272,1.6181,1.1104,2.515,0
uNeuroOne_ANN2::neuralnetwork_rmsprop_05,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_adam_01,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_adam_02,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_adam_03,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_adam_04,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_adam_05,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_rmsprop_01,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_rmsprop_02,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_rmsprop_03,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_rmsprop_04,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_rmsprop_05,1.272,1.6181,1.1104,2.515,0.001
uNeuroOne_ANN2::neuralnetwork_sgd_01,0.3099,0.0961,0.255,0.6127,0.01
uNeuroOne_ANN2::neuralnetwork_sgd_02,0.3117,0.0972,0.2534,0.6408,0.01
uNeuroOne_ANN2::neuralnetwork_sgd_03,0.3133,0.0982,0.2586,0.643,0.01
uNeuroOne_ANN2::neuralnetwork_sgd_04,0.3085,0.0952,0.2514,0.6047,0.01
uNeuroOne_ANN2::neuralnetwork_sgd_05,0.31,0.0961,0.2547,0.641,0.01
uNeuroOne_ANN2::neuralnetwork_adam_01,0.3,0.09,0.2499,0.5857,0.011
uNeuroOne_ANN2::neuralnetwork_adam_02,0.3632,0.1319,0.2893,0.923,0.011
uNeuroOne_ANN2::neuralnetwork_adam_03,0.4168,0.1737,0.332,1.1153,0.011
uNeuroOne_ANN2::neuralnetwork_adam_04,0.5949,0.3539,0.4647,1.4017,0.012
uNeuroOne_ANN2::neuralnetwork_adam_05,0.4576,0.2094,0.345,1.2296,0.011
uNeuroOne_ANN2::neuralnetwork_rmsprop_01,0.2915,0.085,0.2303,0.667,0.011
uNeuroOne_ANN2::neuralnetwork_rmsprop_02,0.2882,0.0831,0.2359,0.636,0.01
uNeuroOne_ANN2::neuralnetwork_rmsprop_03,0.2948,0.0869,0.238,0.6222,0.011
uNeuroOne_ANN2::neuralnetwork_rmsprop_04,0.2929,0.0858,0.2409,0.6324,0.01
uNeuroOne_ANN2::neuralnetwork_rmsprop_05,0.2934,0.0861,0.2395,0.6904,0.011
