event,RMSE,MSE,MAE,WAE,time
mFriedman_CaDENCE::cadence.fit_optim_01,0.0567,0.0032,0.0316,0.1894,13.752
mFriedman_CaDENCE::cadence.fit_optim_02,0.0952,0.0091,0.0545,0.3311,13.737
mFriedman_CaDENCE::cadence.fit_optim_03,0.0815,0.0066,0.074,0.1574,13.325
mFriedman_CaDENCE::cadence.fit_optim_04,0.0802,0.0064,0.071,0.1703,13.583
mFriedman_CaDENCE::cadence.fit_optim_05,0.1186,0.0141,0.0517,0.5628,13.75
mFriedman_CaDENCE::cadence.fit_psoptim_01,0.1332,0.0177,0.0985,0.552,17.828
mFriedman_CaDENCE::cadence.fit_psoptim_02,0.0933,0.0087,0.0774,0.3649,17.785
mFriedman_CaDENCE::cadence.fit_psoptim_03,0.1025,0.0105,0.0724,0.3003,17.86
mFriedman_CaDENCE::cadence.fit_psoptim_04,0.0984,0.0097,0.0647,0.3996,17.807
mFriedman_CaDENCE::cadence.fit_psoptim_05,0.0963,0.0093,0.0805,0.4075,17.812
mFriedman_CaDENCE::cadence.fit_Rprop_01,0.1107,0.0122,0.073,0.4453,33.677
mFriedman_CaDENCE::cadence.fit_Rprop_02,0.1017,0.0103,0.0634,0.3521,33.657
mFriedman_CaDENCE::cadence.fit_Rprop_03,0.1036,0.0107,0.0616,0.3935,33.643
mFriedman_CaDENCE::cadence.fit_Rprop_04,0.1628,0.0265,0.1075,1.033,33.698
mFriedman_CaDENCE::cadence.fit_Rprop_05,0.0871,0.0076,0.0536,0.4028,33.563
