event,RMSE,MSE,MAE,WAE,time
mRef153_CaDENCE::cadence.fit_optim_01,4.7474,22.5376,3.1115,15.8915,4.053
mRef153_CaDENCE::cadence.fit_optim_02,3.776,14.2579,2.7669,16.7323,5.946
mRef153_CaDENCE::cadence.fit_optim_03,3.4492,11.8973,2.4921,12.6329,3.879
mRef153_CaDENCE::cadence.fit_optim_04,3.7312,13.9222,2.5226,15.5101,11.414
mRef153_CaDENCE::cadence.fit_optim_05,3.7066,13.7389,2.4607,16.2165,4.089
mRef153_CaDENCE::cadence.fit_psoptim_01,5.0925,25.9333,3.3282,21.7455,11.5
mRef153_CaDENCE::cadence.fit_psoptim_02,4.1239,17.0063,2.8696,16.5253,11.428
mRef153_CaDENCE::cadence.fit_psoptim_03,3.7364,13.9605,2.5546,14.6995,11.382
mRef153_CaDENCE::cadence.fit_psoptim_04,3.5475,12.5848,2.5051,13.7595,11.429
mRef153_CaDENCE::cadence.fit_psoptim_05,3.7436,14.0145,2.8708,15.0192,11.486
mRef153_CaDENCE::cadence.fit_Rprop_01,4.6085,21.2384,3.5152,17.7808,14.227
mRef153_CaDENCE::cadence.fit_Rprop_02,4.3537,18.9548,3.1329,18.9182,14.862
mRef153_CaDENCE::cadence.fit_Rprop_03,5.4982,30.2301,3.7595,22.3077,14.887
mRef153_CaDENCE::cadence.fit_Rprop_04,4.2288,17.8828,3.1371,13.9377,14.779
mRef153_CaDENCE::cadence.fit_Rprop_05,3.9475,15.5831,2.8882,13.6954,14.843
