event,RMSE,MSE,MAE,WAE,time
uDmod2_CaDENCE::cadence.fit_optim_01,0.2074,0.043,0.1493,0.4881,2.63
uDmod2_CaDENCE::cadence.fit_optim_02,0.0677,0.0046,0.0492,0.1929,3.505
uDmod2_CaDENCE::cadence.fit_optim_03,0.1286,0.0165,0.0819,0.4475,3.539
uDmod2_CaDENCE::cadence.fit_optim_04,0.2474,0.0612,0.1706,0.6494,2.406
uDmod2_CaDENCE::cadence.fit_optim_05,0.2016,0.0406,0.1156,0.7155,2.8
uDmod2_CaDENCE::cadence.fit_psoptim_01,0.2156,0.0465,0.1813,0.4866,7.638
uDmod2_CaDENCE::cadence.fit_psoptim_02,0.2941,0.0865,0.2412,0.6204,7.612
uDmod2_CaDENCE::cadence.fit_psoptim_03,0.4645,0.2158,0.3336,1.1205,7.597
uDmod2_CaDENCE::cadence.fit_psoptim_04,0.4202,0.1765,0.3049,1.0173,7.606
uDmod2_CaDENCE::cadence.fit_psoptim_05,0.267,0.0713,0.2253,0.6024,7.581
uDmod2_CaDENCE::cadence.fit_Rprop_01,0.3063,0.0939,0.2688,0.6298,7.557
uDmod2_CaDENCE::cadence.fit_Rprop_02,0.138,0.0191,0.1042,0.4455,8.752
uDmod2_CaDENCE::cadence.fit_Rprop_03,0.2349,0.0552,0.1587,0.8761,8.759
uDmod2_CaDENCE::cadence.fit_Rprop_04,0.1883,0.0355,0.1436,0.4466,8.425
uDmod2_CaDENCE::cadence.fit_Rprop_05,0.2364,0.0559,0.1798,0.5252,8.699
