event,RMSE,MSE,MAE,WAE,time
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_01,0.0733,0.0054,0.0506,0.2367,1.497
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_02,0.1161,0.0135,0.0865,0.3384,1.492
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_03,0.1205,0.0145,0.0916,0.332,1.499
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_04,0.1179,0.0139,0.0902,0.343,1.518
uDreyfus1_automl::automl_train_manual_trainwgrad_RMSprop_05,0.0821,0.0067,0.0635,0.2344,1.49
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_01,0.0091,0.0001,0.0077,0.0199,1.667
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_02,0.0107,0.0001,0.0085,0.0291,1.202
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_03,0.0126,0.0002,0.0092,0.0363,1.696
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_04,0.1141,0.013,0.0827,0.3607,1.56
uDreyfus1_automl::automl_train_manual_trainwgrad_adam_05,0.0112,0.0001,0.0098,0.0196,1.664
uDreyfus1_automl::automl_train_manual_trainwpso_01,0.1153,0.0133,0.0874,0.3376,5.675
uDreyfus1_automl::automl_train_manual_trainwpso_02,0.2171,0.0471,0.1637,0.5824,11.017
uDreyfus1_automl::automl_train_manual_trainwpso_03,0.1159,0.0134,0.0848,0.3173,8.289
uDreyfus1_automl::automl_train_manual_trainwpso_04,0.1144,0.0131,0.0816,0.3507,4.12
uDreyfus1_automl::automl_train_manual_trainwpso_05,0.1378,0.019,0.1171,0.3228,9.372
