event,RMSE,MSE,MAE,WAE,time
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_01,0.1451,0.021,0.116,0.3446,1.451
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_02,0.1766,0.0312,0.1345,0.4967,1.488
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_03,0.2258,0.051,0.1814,0.5258,1.459
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_04,0.2383,0.0568,0.1825,0.5577,1.464
uDmod2_automl::automl_train_manual_trainwgrad_RMSprop_05,0.2325,0.054,0.1744,0.5273,1.47
uDmod2_automl::automl_train_manual_trainwgrad_adam_01,0.2251,0.0507,0.1551,0.5673,1.667
uDmod2_automl::automl_train_manual_trainwgrad_adam_02,0.0613,0.0038,0.0502,0.1242,1.629
uDmod2_automl::automl_train_manual_trainwgrad_adam_03,0.1512,0.0229,0.1183,0.3485,1.621
uDmod2_automl::automl_train_manual_trainwgrad_adam_04,0.2263,0.0512,0.155,0.5976,1.625
uDmod2_automl::automl_train_manual_trainwgrad_adam_05,0.0666,0.0044,0.0546,0.1516,1.645
uDmod2_automl::automl_train_manual_trainwpso_01,0.0668,0.0045,0.0579,0.1308,6.38
uDmod2_automl::automl_train_manual_trainwpso_02,0.2164,0.0468,0.1814,0.5065,10.587
uDmod2_automl::automl_train_manual_trainwpso_03,0.2635,0.0694,0.2308,0.5723,12.687
uDmod2_automl::automl_train_manual_trainwpso_04,0.1912,0.0366,0.1402,0.4303,8.921
uDmod2_automl::automl_train_manual_trainwpso_05,0.2665,0.071,0.2357,0.511,7.996
